"lhs","rhs","support","confidence","coverage","lift","count"
"{""<U+014B>"",""k"",""n""}","{""a""}",0.00504278728606357,0.735668789808917,0.0068546978693678,1.78304317055909,231
"{""<U+025B>"",""<U+026A>"",""r""}","{""n""}",0.00617796018162766,0.697044334975369,0.00886308068459658,1.88190056560097,283
"{""n"",""o"",""s""}","{""i""}",0.0250392944463849,0.67789598108747,0.0369367796018163,1.94641212872351,1147
"{""<U+0250>"",""n"",""t""}","{""<U+025B>""}",0.00613429968564443,0.67710843373494,0.00905955291652113,3.82925717685557,281
"{""k"",""m"",""u""}","{""a""}",0.00770607754104087,0.664783427495292,0.0115918616835487,1.61123805538118,353
"{""f"",""i"",""o""}","{""n""}",0.00716032134125044,0.661290322580645,0.0108278030038421,1.78537084321178,328
"{""<U+027E>"",""n"",""s""}","{""i""}",0.00984544184421935,0.656477438136827,0.014997380370241,1.88491403323128,451
"{""n"",""o"",""p""}","{""i""}",0.00980178134823612,0.656432748538012,0.0149318896262662,1.88478571800359,449
"{""<U+0259>"",""a"",""i""}","{""n""}",0.00873209919664687,0.654664484451719,0.0133382815228781,1.76748221275207,400
"{""b"",""m"",""n""}","{""a""}",0.00528292001397136,0.654054054054054,0.00807719175689836,1.58523323323323,242
"{""<U+025B>"",""<U+026A>"",""t""}","{""n""}",0.00513010827803004,0.652777777777778,0.00785888927698219,1.76238842720837,235
"{""f"",""n"",""o""}","{""i""}",0.00716032134125044,0.652087475149105,0.0109806147397834,1.87230933067759,328
"{""f"",""n"",""s""}","{""i""}",0.00770607754104087,0.650092081031308,0.0118538246594481,1.8665800456238,353
"{""k"",""m"",""n""}","{""a""}",0.0146262661543835,0.64922480620155,0.0225288159273489,1.57352856732702,670
"{""e"",""o"",""u""}","{""n""}",0.00563220398183723,0.646616541353383,0.00871026894865526,1.74575414194117,258
"{""e"",""i"",""o""}","{""n""}",0.0229654208871813,0.646588813767671,0.0355178134823612,1.74567928219894,1052
"{""<U+0250>"",""<U+025B>"",""t""}","{""n""}",0.00613429968564443,0.645977011494253,0.00949615787635347,1.74402752062997,281
"{""<U+025B>"",""<U+027E>"",""n""}","{""t""}",0.00713849109325882,0.642436149312377,0.0111115962277331,1.84102065234291,327
"{""n"",""o"",""v""}","{""i""}",0.00510827803003842,0.639344262295082,0.00798987076493189,1.83572031886756,234
"{""e"",""n"",""s""}","{""i""}",0.0260434858539993,0.638309256286784,0.0408007334963325,1.83274855283847,1193
"{""e"",""l"",""n""}","{""a""}",0.0149100593782745,0.637126865671642,0.0234020258470136,1.54420674405749,683
"{""<U+0259>"",""n"",""p""}","{""a""}",0.00593782745371987,0.635514018691589,0.00934334614041215,1.54029768085843,272
"{""e"",""g"",""r""}","{""a""}",0.00502095703807195,0.631868131868132,0.00794621026894866,1.53146113146113,230
"{""e"",""g"",""n""}","{""a""}",0.00674554662940971,0.630612244897959,0.0106968215158924,1.52841723356009,309
"{""<U+027E>"",""d"",""s""}","{""a""}",0.00729130282920014,0.630188679245283,0.0115700314355571,1.52739063591894,334
"{""e"",""f"",""i""}","{""n""}",0.0078807195249738,0.630017452006981,0.0125087320991966,1.70093943782258,361
"{""f"",""k"",""n""}","{""i""}",0.00593782745371987,0.62962962962963,0.00943066713237862,1.80782713263596,272
"{""a"",""f"",""k""}","{""i""}",0.00513010827803004,0.628342245989305,0.00816451274886483,1.80413072610493,235
"{""<U+0259>"",""k"",""n""}","{""a""}",0.00975812085225288,0.627808988764045,0.0155431365700314,1.52162297128589,447
"{""<U+0254>"",""<U+025B>"",""v""}","{""n""}",0.00532658050995459,0.627249357326478,0.00849196646873909,1.69346605530803,244
"{""<U+0259>"",""a"",""k""}","{""n""}",0.00975812085225288,0.624301675977654,0.0156304575619979,1.68550781948396,447
