"V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"<U+0254>","p","<U+027E>","i","m","i","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n","<U+025B>","b","<U+027E>","<U+0254>","t","i","k",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"m","a","t","<U+0254>","n","s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+028E>","i","m","a","k",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"i","s","<U+0254>","l","a","t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"i","n","f","a","m","i","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d","i","<U+025B>","d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d","<U+025B>","s","t","<U+0254>","<U+027E>","b","a","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d","<U+025B>","s","p","i","s","t","a","t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b","u","<U+027E>","l","a","t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b","<U+025B>","l<U+02D0>","i","k","o","s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","b","<U+025B>","<U+027E>","g","<U+0254>","<U+0272>","<U+0292>","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b","a","g","<U+025B>","t","a","t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"t","u","m","u","l","t","u","o","s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"t","a","n","k","s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","u","b","m","i","s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","a","<U+027E>","k","a","s","t","i","k","a","m","<U+025B>","n","t",NA,NA,NA,NA,NA,NA,NA,NA,NA
"i","n","t","<U+0254>","k","a","b","l","<U+025B>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"i","n","<U+0292>","u","<U+027E>","i","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"i","n","f","l","a","m","a","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"f","a","l","s","<U+025B>","<U+0292>","a","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+025B>","s","k","i","<U+014B>","k","a","t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+025B>","s","k","u","<U+027E>","s","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+025B>","m","b","<U+027E>","u","t","a","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d","i","f","a","m","a","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d","<U+025B>","z","<U+0254>","n","<U+025B>","s","t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","<U+027E>","a","z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","<U+0254>","<U+0292>¨","s","<U+0254>","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","<U+0254>","<U+0292>","<U+0283>","<U+025B>","s","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","k","l","a","p","a","<U+027E>","a","d","<U+0254>","<U+027E>","a","m","<U+025B>","n","t",NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d","i","<U+0259>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","a<U+02D0>","t","e<U+02D0>","g","o<U+02D0>","r","i","<U+0259>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n","i","x","t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"v","e","<U+0259>","d","<U+0259>","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"t<U+0361>s","a","i","t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"l","i<U+02D0>","g","t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"t<U+0361>s","u<U+02D0>","r","y","k",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"t","o","t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d","i<U+02D0>","s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"m","a","l",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b","e<U+02D0>","s","o","n","d","e","<U+0259>","s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"f","a","l",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","t","a","n","t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"f","o","l","g","<U+0259>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"v","e<U+02D0>","n","i","k",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"t","a","g","<U+0259>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d","i<U+02D0>","r","e","k","t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","t","e","l","<U+0259>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"l","i<U+02D0>","g","<U+0259>","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"l","a","k",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u","<U+0259>","s","p","r","y","<U+014B>","k","l","i","x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"h","i","n","t","<U+0259>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","a","u","m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g","e<U+02D0>","g","<U+0259>","n","s","a","t<U+0361>s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","r","<U+0259>","n","t<U+0361>s","<U+0259>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","t","e","l","<U+0259>","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","r","i<U+02D0>","t","i","k",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"f","ø","l","i","k",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g","e<U+02D0>","h","<U+0259>","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"p","r","o","p","l","e","m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"m","a","i","<U+0259>","n","u","<U+014B>","k",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+0283>","v","<U+0259>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","u","s","g","a","b","<U+0259>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"t","r","o","t<U+0361>s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"t<U+0361>s","e","<U+0259>","s","t","ø","<U+0259>","t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"f","e","<U+0259>","l","o<U+02D0>","r","<U+0259>","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"f","i<U+02D0>","l",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","a","m","p<U+0361>f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"l","a","u","t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"h","a","l","t","<U+0259>","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"l","i","<U+014B>","k","s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"f","r","a<U+02D0>","g","<U+0259>","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"f","e<U+02D0>","l","t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"p","r","o","p","l","e","m","<U+0259>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"t","u","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"o","p<U+0361>f","<U+0259>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","i","n","f","y<U+02D0>","r","u","<U+014B>","k",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"e","<U+0259>","d","<U+0259>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"f","e","<U+0259>","l","a","s","<U+0259>","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"t","o","<U+0259>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b","e<U+02D0>","s","o","n","d","<U+0259>","r","<U+0259>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"f","e","<U+0259>","s","u","x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","u","f","g","e<U+02D0>","l","ø","s","t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"l","a","i","d","<U+0259>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"h","e","<U+0259>","s","t","e","l","u","<U+014B>","k",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"f","a","l","<U+0283>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d","u","<U+0259>","x","m","e","s","<U+0259>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g","e<U+02D0>","s","e","t<U+0361>s","t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","u","f","l","ø<U+02D0>","s","u","<U+014B>","k",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"h","a","n","t","l","u","<U+014B>","k",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","l","g","e<U+02D0>","m","a","i","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","<U+014B>","k","r","i","f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g","e","k","n","<U+0259>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"f","e<U+02D0>","l","<U+0259>","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"t","r","o","t<U+0361>s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"h","a<U+02D0>","f","<U+0259>","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"v","i<U+02D0>","d","e","<U+0259>","s","t","a","n","t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b","a","x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"r","e","s","t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","t","e","<U+0259>","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"t<U+0361>s","u","k",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","r","<U+0259>","n","t<U+0361>s","<U+0259>","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"f","e","<U+0259>","h","i","n","d","e","<U+0259>","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"t<U+0361>s","a","x","<U+0259>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"f","e<U+02D0>","r","u","<U+0259>","t","a","i","l","t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n","i<U+02D0>","d","<U+0259>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"r","o","t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"f","e<U+02D0>","l","<U+0259>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n","u<U+02D0>","t<U+0361>s","<U+0259>","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"f","e","<U+0259>","<U+0283>","o<U+02D0>","b","<U+0259>","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u","n","b","e<U+02D0>","k","a","n","t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"t<U+0361>s","a","i","t","v","a","i","s","<U+0259>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+0259>","n","k",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"o","f","<U+0259>","n","s","i","x","t","l","i","x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"f","a","l","<U+0259>","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+0283>","v","a","<U+0259>","t<U+0361>s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g","e<U+02D0>","f","a<U+02D0>","<U+0259>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g","e<U+02D0>","t","ø<U+02D0>","t","e","t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"t<U+0361>s","i<U+02D0>","<U+0259>","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"f","l","u","x","t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"f","e","<U+0259>","b","o<U+02D0>","t","<U+0259>","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+0283>","l","e","x","t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+0283>","v","<U+0259>","r","<U+0259>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"l","a","<U+014B>","k","s","a","m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","t","r","a","i","t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","l","a","i","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","t","e","n","d","i","k",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g","e","t","r","a<U+02D0>","g","<U+0259>","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","o","n","f","l","i","k","t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b","e","k","r","<U+0259>","n","t<U+0361>s","t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","r","a","<U+014B>","k","h","a","i","t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"p","r","a","x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"f","a","l","s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"f","a","l","<U+0259>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g","e<U+02D0>","t<U+0361>s","o<U+02D0>","g","<U+0259>","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g","e<U+02D0>","f","e","<U+014B>","k","n","i","s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","p","g","e<U+02D0>","l","e<U+02D0>","n","t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","f","e","<U+014B>","i","k",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","p","g","e<U+02D0>","r","i","s","<U+0259>","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u","m","s","t","r","i","t","<U+0259>","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"e","<U+0259>","h","e<U+02D0>","b","u","<U+014B>","k",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b","e","<U+0283>","r","e","<U+014B>","k","t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"t","r","<U+0259>","n","n","u","<U+014B>","k",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"f","e","<U+0259>","t","a","i","e","d","i","ç","u","<U+014B>","k",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+0283>","v","i<U+02D0>","r","i","k","k","a","i","e","t","<U+0259>","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"y<U+02D0>","b","e","<U+0259>","g","e<U+02D0>","b","<U+0259>","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"r","e<U+02D0>","d","u<U+02D0>","t<U+0361>s","i<U+02D0>","<U+0259>","t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"t<U+0361>s","e","<U+0259>","s","t","ø<U+02D0>","r","u","<U+014B>","k",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","u","h","s","a","i","<U+0259>","n","a","n","d","e","<U+0259>","s","e<U+02D0>","t<U+0361>s","u","<U+014B>","k",NA,NA,NA,NA
"s","t","r","o","m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g","e","<U+0283>","l","a<U+02D0>","g","<U+0259>","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b","e<U+02D0>","<U+0283>","e","d","i","ç","t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","u","f","g","e<U+02D0>","t","a","i","l","t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","t","u","<U+0259>","m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"f","e","<U+0259>","l","u","s","t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"h","e","<U+014B>","t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","r","i<U+02D0>","t","i","s","i<U+02D0>","<U+0259>","t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"f","e","<U+0259>","l","e","t<U+0361>s","t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","u","s","p","r","u","x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"f","e","<U+0259>","f","o","l","g","t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"r","y","k","t","r","i","t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"f","e","<U+0259>","m","a","i","e","d","<U+0259>","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","p","u<U+02D0>","r","<U+0259>","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"t<U+0361>s","u<U+02D0>","r","y","k","g","e<U+02D0>","t<U+0361>s","o<U+02D0>","g","<U+0259>","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"f","o","l",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"e","<U+0259>","f","o","l","k","l","o","s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u","<U+014B>","k","l","a","<U+0259>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"o","p","j","e","k","t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","u","f","s","t","a","n","t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g","e<U+02D0>","g","<U+0259>","n","s","t","a","n","t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"f","e","<U+0259>","f","o","l","g","u","<U+014B>","k",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+0283>","e","d","<U+0259>","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","r","i<U+02D0>","t","i","k","<U+0259>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g","e<U+02D0>","r","i","<U+014B>","k",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d","i","x","t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"t<U+0361>s","v","a","i","e","f","e","l",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","t","a","m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b","e","t","r","o","f","<U+0259>","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"i","<U+0259>","r","e<U+02D0>","l","e","f","a","n","t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"t","i","<U+0259>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g","e<U+02D0>","f","a","<U+014B>","<U+0259>","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","e","m","p<U+0361>f","t","<U+0259>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","<U+014B>","k","r","i","f","<U+0259>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","p","l","a","u","f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b","e<U+02D0>","l","a<U+02D0>","g","e<U+02D0>","r","u","<U+014B>","k",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"h","a","f","t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","<U+014B>","s","t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"f","e<U+02D0>","r","a","n","t","v","o","<U+0259>","t","u","<U+014B>","k",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","p","e","<U+0259>","r","<U+0259>","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","p","g","e","p","r","o<U+02D0>","x","<U+0259>","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+0283>","v","i<U+02D0>","r","i","k",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
