one,two,three,four,five,six,seven,eight,nine,ten,eleven,twelve,thirteen,fourteen,fifteen,sixteen,seventeen,eighteen,nineteen,twenty,twenty_one,twenty_two,twenty_three,twenty_four,twenty_five,twenty_six,twenty_seven,twenty_eight
a,ٕ,z,a,ː,l,ة,,,,,,,,,,,,,,,,,,,,,
a,ٔ,x,r,,,,,,,,,,,,,,,,,,,,,,,,
t,u,ː,q,f,,,,,,,,,,,,,,,,,,,,,,,
a,l,ʔ,a,ʕ,r,a,ː,d,ˤ,,,,,,,,,,,,,,,,,,
ɣ,a,ː,z,,,,,,,,,,,,,,,,,,,,,,,,
ʕ,a,ː,l,i,ː,,,,,,,,,,,,,,,,,,,,,,
a,ٔ,ʕ,r,a,ː,d,ˤ,,,,,,,,,,,,,,,,,,,,
h,d,͡,ʒ,u,ː,m,,,,,,,,,,,,,,,,,,,,,
x,t,ˤ,r,,,,,,,,,,,,,,,,,,,,,,,,
s,l,a,ː,l,ة,,,,,,,,,,,,,,,,,,,,,,
m,u,ː,t,,,,,,,,,,,,,,,,,,,,,,,,
s,i,ː,t,ˤ,r,ة,,,,,,,,,,,,,,,,,,,,,
b,ʃ,d,ة,,,,,,,,,,,,,,,,,,,,,,,,
q,d,ˤ,a,ː,i,ː,a,ː,,,,,,,,,,,,,,,,,,,
d,ˤ,r,b,,,,,,,,,,,,,,,,,,,,,,,,
m,s,ʔ,a,l,ة,,,,,,,,,,,,,,,,,,,,,,
f,r,d,ˤ,,,,,,,,,,,,,,,,,,,,,,,,
x,l,a,ː,f,,,,,,,,,,,,,,,,,,,,,,,
s,d,͡,ʒ,n,,,,,,,,,,,,,,,,,,,,,,,
r,s,m,i,ː,,,,,,,,,,,,,,,,,,,,,,,
x,t,ˤ,ʔ,a,,,,,,,,,,,,,,,,,,,,,,,
t,a,ː,b,ʕ,,,,,,,,,,,,,,,,,,,,,,,
q,r,i,ː,b,,,,,,,,,,,,,,,,,,,,,,,
t,d,m,i,ː,r,,,,,,,,,,,,,,,,,,,,,,
k,ʃ,f,,,,,,,,,,,,,,,,,,,,,,,,,
m,r,a,ː,q,b,ة,,,,,,,,,,,,,,,,,,,,,
f,q,d,a,ː,n,,,,,,,,,,,,,,,,,,,,,,
t,ˤ,r,ħ,,,,,,,,,,,,,,,,,,,,,,,,
a,l,n,q,a,ː,d,,,,,,,,,,,,,,,,,,,,,
s,ˤ,ʕ,u,ː,b,ة,,,,,,,,,,,,,,,,,,,,,
ħ,ð,f,,,,,,,,,,,,,,,,,,,,,,,,,
ʕ,l,a,ː,m,a,ː,t,,,,,,,,,,,,,,,,,,,,
a,ɣ,t,i,ː,a,ː,l,,,,,,,,,,,,,,,,,,,,
a,l,x,a,ː,m,,,,,,,,,,,,,,,,,,,,,,
l,k,m,,,,,,,,,,,,,,,,,,,,,,,,,
i,ː,ʕ,a,ː,n,i,ː,,,,,,,,,,,,,,,,,,,,
ħ,s,ˤ,a,ː,r,,,,,,,,,,,,,,,,,,,,,,
q,l,ة,,,,,,,,,,,,,,,,,,,,,,,,,
t,m,θ,a,ː,l,,,,,,,,,,,,,,,,,,,,,,
s,r,t,ˤ,a,ː,n,,,,,,,,,,,,,,,,,,,,,
a,ٕ,s,ˤ,a,ː,b,ة,,,,,,,,,,,,,,,,,,,,
s,ˤ,r,a,ː,ʕ,,,,,,,,,,,,,,,,,,,,,,
s,ħ,b,,,,,,,,,,,,,,,,,,,,,,,,,
ɣ,a,ː,d,r,,,,,,,,,,,,,,,,,,,,,,,
x,s,r,,,,,,,,,,,,,,,,,,,,,,,,,
ʃ,k,,,,,,,,,,,,,,,,,,,,,,,,,,
ɣ,i,ː,a,ː,b,,,,,,,,,,,,,,,,,,,,,,
a,ٔ,z,m,ة,,,,,,,,,,,,,,,,,,,,,,,
n,s,x,,,,,,,,,,,,,,,,,,,,,,,,,
s,ˤ,i,ː,ɣ,ة,,,,,,,,,,,,,,,,,,,,,,
ʕ,r,d,ˤ,h,,,,,,,,,,,,,,,,,,,,,,,
ħ,d,ة,,,,,,,,,,,,,,,,,,,,,,,,,
d,ˤ,x,m,,,,,,,,,,,,,,,,,,,,,,,,
s,ʕ,r,,,,,,,,,,,,,,,,,,,,,,,,,
d,͡,ʒ,h,u,ː,d,,,,,,,,,,,,,,,,,,,,,
r,s,u,ː,m,,,,,,,,,,,,,,,,,,,,,,,
t,ˤ,r,d,,,,,,,,,,,,,,,,,,,,,,,,
a,n,h,i,ː,a,ː,r,,,,,,,,,,,,,,,,,,,,
m,n,x,f,d,ˤ,,,,,,,,,,,,,,,,,,,,,,
k,ʕ,b,,,,,,,,,,,,,,,,,,,,,,,,,
x,s,a,ː,i,ː,ٔ,r,,,,,,,,,,,,,,,,,,,,
m,t,l,a,ː,z,m,ة,,,,,,,,,,,,,,,,,,,,
a,d,ˤ,t,ˤ,r,a,ː,b,,,,,,,,,,,,,,,,,,,
t,r,a,ː,d,͡,ʒ,ʕ,,,,,,,,,,,,,,,,,,,,
ɣ,r,i,ː,b,,,,,,,,,,,,,,,,,,,,,,,
a,l,m,x,a,ː,t,ˤ,r,,,,,,,,,,,,,,,,,,,
s,ˤ,ħ,r,a,ː,ء,,,,,,,,,,,,,,,,,,,,,
a,l,ʕ,d,u,ː,ى,,,,,,,,,,,,,,,,,,,,,
u,ː,ħ,i,ː,d,,,,,,,,,,,,,,,,,,,,,,
f,i,ː,r,u,ː,s,,,,,,,,,,,,,,,,,,,,,
t,r,d,d,,,,,,,,,,,,,,,,,,,,,,,,
q,t,a,ː,l,,,,,,,,,,,,,,,,,,,,,,,
a,l,h,d,͡,ʒ,m,a,ː,t,,,,,,,,,,,,,,,,,,
a,l,ʕ,b,i,ː,d,,,,,,,,,,,,,,,,,,,,,
ħ,a,ː,d,θ,,,,,,,,,,,,,,,,,,,,,,,
n,a,ː,d,r,,,,,,,,,,,,,,,,,,,,,,,
k,s,r,,,,,,,,,,,,,,,,,,,,,,,,,
a,n,d,l,a,ː,ʕ,,,,,,,,,,,,,,,,,,,,,
m,ʕ,a,ː,r,d,ˤ,ة,,,,,,,,,,,,,,,,,,,,
ʕ,r,d,ˤ,ة,,,,,,,,,,,,,,,,,,,,,,,
t,s,t,m,r,,,,,,,,,,,,,,,,,,,,,,,
a,s,t,ɣ,l,a,ː,l,,,,,,,,,,,,,,,,,,,,
s,i,ː,d,ة,,,,,,,,,,,,,,,,,,,,,,,
t,m,i,ː,i,ː,z,,,,,,,,,,,,,,,,,,,,,
x,f,d,ˤ,,,,,,,,,,,,,,,,,,,,,,,,
