one,two,three,four,five,six,seven,eight,nine,ten,eleven,twelve,thirteen,fourteen,fifteen,sixteen,seventeen,eighteen,nineteen,twenty,twenty_one,twenty_two,twenty_three,twenty_four,twenty_five,twenty_six,twenty_seven,twenty_eight
b,i,ɕ,ɽ,i,ŋ,k,ʰ,ɔ,l,̪,a,,,,,,,,,,,,,,,,
d,a,k,a,t,̪,,,,,,,,,,,,,,,,,,,,,,
d,͡,ʑ,̤,u,ঁ,k,i,p,u,r,n,ɔ,,,,,,,,,,,,,,,
a,s,̪,t,̪,a,n,̪,a,,,,,,,,,,,,,,,,,,,
o,s,̪,u,s,̪,t,̪,ʰ,ɔ,t,̪,a,,,,,,,,,,,,,,,
o,r,t,̪,ʰ,ɔ,h,i,n,̪,,,,,,,,,,,,,,,,,,
m,ɔ,r,a,,,,,,,,,,,,,,,,,,,,,,,,
b,̤,e,̯,a,n,̪,ɔ,k,ɔ,,,,,,,,,,,,,,,,,,
b,i,ɕ,b,a,s,̪,ɔ,̤,ɡ,̤,a,t,̪,ɔ,k,ɔ,t,̪,a,,,,,,,,
b,i,p,ɔ,r,d,͡,z,ɔ,s,̪,t,̪,ɔ,,,,,,,,,,,,,,
b,i,p,ɔ,k,ʂ,ɔ,,,,,,,,,,,,,,,,,,,,,
b,i,t,͡,ɕ,d,͡,z,u,t,̪,,,,,,,,,,,,,,,,,
p,ɔ,ɕ,t,͡,ɕ,a,d,̪,ɔ,p,ɔ,s,̪,ɔ,r,ɔ,n,ɔ,,,,,,,,,
o,b,i,r,a,m,,,,,,,,,,,,,,,,,,,,,,
o,t,͡,ɕ,ɔ,l,̪,ɔ,,,,,,,,,,,,,,,,,,,,
n,e,g,a,t,i,v,e,,,,,,,,,,,,,,,,,,,,
m,i,s,t,a,k,e,,,,,,,,,,,,,,,,,,,,,
r,ɔ,k,t,̪,a,k,t,̪,ɔ,,,,,,,,,,,,,,,,,,
b,d,͡,z,a,t,̪,ʰ,a,,,,,,,,,,,,,,,,,,,
b,e,d,̪,n,̪,a,,,,,,,,,,,,,,,,,,,,,
ɸ,a,t,ɔ,l,̪,ɔ,,,,,,,,,,,,,,,,,,,,,
p,l,̪,a,b,i,t,̪,,,,,,,,,,,,,,,,,,,,
d,̪,o,ʂ,,,,,,,,,,,,,,,,,,,,,,,,
d,̪,u,r,b,ɔ,l,̪,ɔ,t,̪,a,,,,,,,,,,,,,,,,
d,̪,ɔ,n,d,i,t,̪,,,,,,,,,,,,,,,,,,,,
ɡ,ɔ,r,i,b,,,,,,,,,,,,,,,,,,,,,,,
u,p,ɔ,d,̪,ɔ,l,̪,ɔ,,,,,,,,,,,,,,,,,,,
o,s,̪,t,̪,ʰ,i,r,,,,,,,,,,,,,,,,,,,,
o,s,̪,u,k,ʰ,,,,,,,,,,,,,,,,,,,,,,
o,s,̪,ɔ,n,̪,t,̪,o,ʂ,,,,,,,,,,,,,,,,,,
o,n,̪,u,d,͡,ʑ,d,͡,ʑ,b,ɔ,l,̪,ɔ,,,,,,,,,,,,,
d,i,f,f,i,c,u,l,t,,,,,,,,,,,,,,,,,,,
s,̪,ɔ,ŋ,ɕ,e,̯,ɔ,,,,,,,,,,,,,,,,,,,,
s,̪,ɔ,ŋ,k,r,a,m,ɔ,k,ɔ,,,,,,,,,,,,,,,,,
b,̤,a,d,͡,ʑ,a,,,,,,,,,,,,,,,,,,,,,
b,a,d,̪,̤,d,͡,z,ɔ,b,a,d,̪,̤,ɔ,k,ɔ,t,̪,a,,,,,,,,
p,ɔ,r,ɔ,d,͡,ʑ,i,b,i,,,,,,,,,,,,,,,,,,
n,̪,i,r,u,t,̪,s,̪,a,h,i,t,̪,,,,,,,,,,,,,,
d,̤,u,k,i,e,̯,e,,,,,,,,,,,,,,,,,,,,
t,͡,ɕ,ʰ,o,p,,,,,,,,,,,,,,,,,,,,,,
k,ʂ,u,d,̪,̤,a,,,,,,,,,,,,,,,,,,,,,
o,s,̪,t,̪,ʰ,i,r,t,̪,a,,,,,,,,,,,,,,,,,
o,s,̪,t,̪,ʰ,i,t,̪,i,ɕ,i,l,̪,,,,,,,,,,,,,,
o,b,ɔ,h,e,l,̪,i,t,̪,,,,,,,,,,,,,,,,,,
o,n,̪,i,b,a,r,d,͡,z,ɔ,,,,,,,,,,,,,,,,,
m,a,n,̪,a,,,,,,,,,,,,,,,,,,,,,,,
b,i,b,̤,r,a,n,̪,t,̪,ɔ,,,,,,,,,,,,,,,,,
k,ɔ,t,ʰ,o,r,b,̤,a,b,e,,,,,,,,,,,,,,,,,
u,ɡ,ɔ,r,ɔ,,,,,,,,,,,,,,,,,,,,,,,
a,m,u,l,̪,,,,,,,,,,,,,,,,,,,,,,,
a,b,ɔ,r,d,͡,ʑ,ɔ,n,̪,a,,,,,,,,,,,,,,,,,
o,p,r,ɔ,t,̪,d,͡,z,a,ɕ,i,t,̪,,,,,,,,,,,,,,
l,a,c,k,i,n,g,,,,,,,,,,,,,,,,,,,,,
b,u,g,,,,,,,,,,,,,,,,,,,,,,,,,
r,u,k,ʂ,ɔ,,,,,,,,,,,,,,,,,,,,,,,
b,i,b,̤,r,a,n,̪,t,̪,i,,,,,,,,,,,,,,,,,
b,i,d,̪,r,o,h,i,d,̪,e,r,,,,,,,,,,,,,,,,
b,i,k,ɔ,t,ɔ,,,,,,,,,,,,,,,,,,,,,,
b,ɔ,r,b,ɔ,r,ɔ,,,,,,,,,,,,,,,,,,,,,
u,t,̪,t,̪,a,l,̪,,,,,,,,,,,,,,,,,,,,
s,̪,ɔ,ŋ,k,r,ɔ,m,i,t,̪,,,,,,,,,,,,,,,,,
ɕ,ɔ,t,̪,r,u,d,̪,e,r,,,,,,,,,,,,,,,,,,
b,̤,a,n,d,a,r,,,,,,,,,,,,,,,,,,,,,
p,r,a,d,̪,u,r,b,̤,a,b,,,,,,,,,,,,,,,,,
p,o,ɽ,a,,,,,,,,,,,,,,,,,,,,,,,,
d,̪,̤,o,ঁ,e,̯,a,,,,,,,,,,,,,,,,,,,,
d,̪,ɔ,ŋ,ɕ,ɔ,n,̪,ɔ,,,,,,,,,,,,,,,,,,,
t,͡,ɕ,ʰ,u,r,i,,,,,,,,,,,,,,,,,,,,,
t,͡,ɕ,ʰ,ɔ,t,̪,r,ɔ,b,̤,ɔ,ŋ,ɡ,ɔ,,,,,,,,,,,,,
e,k,l,̪,a,,,,,,,,,,,,,,,,,,,,,,,
i,n,c,o,r,r,e,c,t,,,,,,,,,,,,,,,,,,,
c,o,n,c,e,r,n,,,,,,,,,,,,,,,,,,,,,
h,i,r,ɔ,k,ɔ,,,,,,,,,,,,,,,,,,,,,,
b,̤,ɔ,ŋ,ɡ,u,r,,,,,,,,,,,,,,,,,,,,,
b,o,k,a,,,,,,,,,,,,,,,,,,,,,,,,
b,i,ɕ,ɽ,i,ŋ,k,ʰ,ɔ,l,̪,ɔ,,,,,,,,,,,,,,,,
ɸ,ɔ,̃,p,a,,,,,,,,,,,,,,,,,,,,,,,
n,̪,i,r,d,͡,z,a,t,̪,i,t,̪,,,,,,,,,,,,,,,
t,i,k,a,,,,,,,,,,,,,,,,,,,,,,,,
t,͡,ɕ,ɔ,r,ɔ,m,ɔ,p,ɔ,n,̪,t,̪,ʰ,i,,,,,,,,,,,,
k,r,i,t,̪,d,̪,a,s,̪,,,,,,,,,,,,,,,,,,
o,m,i,m,a,ŋ,s,̪,i,t,̪,,,,,,,,,,,,,,,,,
o,b,̤,i,ɕ,ɔ,p,t,̪,ɔ,,,,,,,,,,,,,,,,,,
o,k,a,r,d,͡,z,ɔ,k,ɔ,r,ɔ,,,,,,,,,,,,,,,,
d,i,s,p,u,t,e,d,,,,,,,,,,,,,,,,,,,,
h,ɔ,t,̪,d,͡,z,a,k,a,r,i,,,,,,,,,,,,,,,,
s,̪,b,o,j,r,a,t,͡,ɕ,a,r,i,,,,,,,,,,,,,,,
s,̪,ɔ,m,a,l,̪,o,t,͡,ɕ,n,̪,a,m,u,l,̪,ɔ,k,ɔ,,,,,,,
m,a,r,a,t,̪,m,ɔ,k,ɔ,b,̤,a,b,e,,,,,,,,,,,,,
m,ɔ,r,i,e,̯,a,,,,,,,,,,,,,,,,,,,,,
m,ɔ,ɡ,ɔ,n,̪,ɔ,,,,,,,,,,,,,,,,,,,,,
b,̤,i,t,̪,i,,,,,,,,,,,,,,,,,,,,,,
b,i,n,̪,ɔ,ʂ,t,ɔ,,,,,,,,,,,,,,,,,,,,
p,r,ɔ,t,̪,i,b,a,d,̪,i,,,,,,,,,,,,,,,,,
p,ɔ,l,̪,a,t,̪,ɔ,k,ɔ,,,,,,,,,,,,,,,,,,
k,ʂ,i,n,,,,,,,,,,,,,,,,,,,,,,,,
k,i,t,ɔ,p,ɔ,t,̪,ɔ,ŋ,ɡ,ɔ,,,,,,,,,,,,,,,,
k,a,m,ɽ,e,,,,,,,,,,,,,,,,,,,,,,,
o,ʂ,u,d,̪,̤,e,r,,,,,,,,,,,,,,,,,,,,
u,d,̪,b,i,ɡ,ɔ,n,̪,ɔ,,,,,,,,,,,,,,,,,,
a,ɕ,ɔ,ŋ,k,a,,,,,,,,,,,,,,,,,,,,,,
o,p,r,i,b,ɔ,r,t,̪,ɔ,n,̪,i,e,̯,,,,,,,,,,,,,
o,n,̪,o,j,t,̪,i,k,,,,,,,,,,,,,,,,,,,
o,n,̪,a,t,̪,ʰ,,,,,,,,,,,,,,,,,,,,,
h,a,s,̪,d,͡,z,ɔ,r,ɔ,s,̪,a,t,̪,m,ɔ,k,ɔ,,,,,,,,,
s,̪,t,ɔ,l,̪,ɔ,,,,,,,,,,,,,,,,,,,,,
ɕ,u,k,ɔ,r,ɔ,,,,,,,,,,,,,,,,,,,,,,
b,̤,ɔ,ŋ,ɡ,e,r,,,,,,,,,,,,,,,,,,,,,
b,ɔ,h,i,r,a,ɡ,ɔ,t,̪,ɔ,,,,,,,,,,,,,,,,,
d,̪,ɔ,m,e,,,,,,,,,,,,,,,,,,,,,,,
̤,ɡ,̤,ɔ,r,ʂ,ɔ,n,ɔ,,,,,,,,,,,,,,,,,,,
̤,ɡ,̤,ɔ,n,̪,ɔ,b,ɔ,s,̪,ɔ,t,̪,i,p,u,r,n,ɔ,,,,,,,,
k,ʰ,a,s,̪,i,,,,,,,,,,,,,,,,,,,,,,
k,l,̪,a,n,̪,t,̪,ɔ,,,,,,,,,,,,,,,,,,,
a,k,a,ŋ,k,ʂ,a,,,,,,,,,,,,,,,,,,,,,
o,p,ɔ,t,͡,ɕ,ʰ,ɔ,n,̪,d,̪,ɔ,,,,,,,,,,,,,,,
f,a,i,l,e,d,,,,,,,,,,,,,,,,,,,,,,
s,̪,a,b,l,̪,i,l,̪,,,,,,,,,,,,,,,,,,,
s,̪,a,b,d,̪,̤,a,n,̪,,,,,,,,,,,,,,,,,,
b,i,d,̪,̤,i,n,̪,i,ʂ,e,d,̪,̤,,,,,,,,,,,,,,
b,i,k,ɽ,i,t,̪,i,,,,,,,,,,,,,,,,,,,,
b,ɔ,r,n,ɔ,b,a,d,̪,i,,,,,,,,,,,,,,,,,,
p,r,ɔ,b,ɔ,l,̪,ɔ,b,̤,a,b,e,,,,,,,,,,,,,,,
n,̪,ɽ,i,ɕ,ɔ,ŋ,s,̪,ɔ,,,,,,,,,,,,,,,,,,
d,͡,ʑ,b,a,l,̪,a,,,,,,,,,,,,,,,,,,,,
t,͡,ɕ,i,n,̪,t,̪,i,t,̪,,,,,,,,,,,,,,,,,
k,ʂ,ɔ,r,ɔ,n,ɔ,,,,,,,,,,,,,,,,,,,,,
a,ɽ,a,l,̪,,,,,,,,,,,,,,,,,,,,,,,
o,ɕ,u,b,̤,,,,,,,,,,,,,,,,,,,,,,,
o,ɕ,i,k,ʂ,i,t,̪,,,,,,,,,,,,,,,,,,,,
o,b,̤,i,b,d,͡,z,ɔ,k,t,̪,i,,,,,,,,,,,,,,,
o,p,m,a,n,̪,,,,,,,,,,,,,,,,,,,,,,
f,a,l,l,,,,,,,,,,,,,,,,,,,,,,,,
c,o,l,l,a,p,s,e,,,,,,,,,,,,,,,,,,,,
s,̪,ɔ,ŋ,ɕ,l,̪,e,ʂ,,,,,,,,,,,,,,,,,,,
ɕ,r,u,t,̪,i,,,,,,,,,,,,,,,,,,,,,,
l,̪,e,b,u,,,,,,,,,,,,,,,,,,,,,,,
l,̪,u,n,t,ʰ,ɔ,n,̪,ɔ,,,,,,,,,,,,,,,,,,
r,ɔ,k,t,̪,ɔ,p,a,t,̪,,,,,,,,,,,,,,,,,,
n,̪,i,p,i,ɽ,ɔ,n,̪,ɔ,,,,,,,,,,,,,,,,,,
k,ʰ,o,l,̪,ɔ,s,̪,ɔ,,,,,,,,,,,,,,,,,,,
k,ʂ,ɔ,t,̪,i,k,a,r,ɔ,k,ɔ,,,,,,,,,,,,,,,,
o,s,̪,ɔ,m,ɔ,r,t,̪,ʰ,ɔ,,,,,,,,,,,,,,,,,
o,n,̪,u,p,ɔ,s,̪,t,̪,ʰ,i,t,̪,i,,,,,,,,,,,,,
o,n,̪,i,r,d,̪,i,ʂ,t,ɔ,,,,,,,,,,,,,,,,,
v,i,o,l,a,t,e,,,,,,,,,,,,,,,,,,,,,
s,i,n,,,,,,,,,,,,,,,,,,,,,,,,,
d,e,a,d,,,,,,,,,,,,,,,,,,,,,,,,
s,̪,a,d,͡,ʑ,a,,,,,,,,,,,,,,,,,,,,,
b,i,k,ʂ,u,b,d,̪,̤,ɔ,,,,,,,,,,,,,,,,,,
b,e,̯,ɔ,k,ɔ,t,ɔ,,,,,,,,,,,,,,,,,,,,
d,̪,e,u,l,̪,i,e,̯,a,,,,,,,,,,,,,,,,,,
ɡ,ɔ,t,̪,a,n,̪,u,ɡ,t,̪,i,k,,,,,,,,,,,,,,,
k,ʰ,ɔ,r,ɔ,t,͡,ɕ,e,r,,,,,,,,,,,,,,,,,,
k,r,o,d,̪,̤,,,,,,,,,,,,,,,,,,,,,,
a,s,̪,ɔ,k,t,̪,ɔ,,,,,,,,,,,,,,,,,,,,
o,s,̪,ɔ,n,̪,t,̪,u,ʂ,t,ɔ,,,,,,,,,,,,,,,,
o,b,̤,a,b,n,̪,i,e,̯,,,,,,,,,,,,,,,,,,
o,n,̪,ɔ,b,ɔ,r,ɔ,t,̪,ɔ,,,,,,,,,,,,,,,,,
o,d,̪,ɔ,m,d,͡,z,ɔ,,,,,,,,,,,,,,,,,,,
c,r,i,t,i,c,a,l,,,,,,,,,,,,,,,,,,,,
s,̪,ɔ,m,ɔ,r,p,ɔ,n,ɔ,,,,,,,,,,,,,,,,,,
l,̪,ɔ,d,͡,ʑ,d,͡,ʑ,a,,,,,,,,,,,,,,,,,,
m,ɔ,h,a,m,a,r,i,,,,,,,,,,,,,,,,,,,,
n,̪,o,ŋ,r,a,,,,,,,,,,,,,,,,,,,,,,
n,̪,i,ʂ,t,ʰ,u,r,,,,,,,,,,,,,,,,,,,,
n,̪,i,b,a,r,ɔ,n,ɔ,,,,,,,,,,,,,,,,,,,
d,̪,̤,u,m,p,a,n,̪,,,,,,,,,,,,,,,,,,,
d,̪,ɔ,h,ɔ,n,̪,ɔ,,,,,,,,,,,,,,,,,,,,
t,̪,i,b,r,ɔ,b,̤,a,b,e,,,,,,,,,,,,,,,,,
d,͡,ʑ,d,͡,z,a,m,,,,,,,,,,,,,,,,,,,,
ɡ,ɔ,̃,d,͡,ʑ,a,,,,,,,,,,,,,,,,,,,,,
k,ɔ,ŋ,k,a,l,̪,,,,,,,,,,,,,,,,,,,,,
e,k,n,̪,a,e,̯,ɔ,k,ɔ,,,,,,,,,,,,,,,,,,
u,d,̪,b,e,ɡ,,,,,,,,,,,,,,,,,,,,,,
a,t,̪,ɔ,ŋ,k,ɔ,,,,,,,,,,,,,,,,,,,,,
a,ɡ,a,t,͡,ɕ,ʰ,a,,,,,,,,,,,,,,,,,,,,
o,d,͡,z,o,w,k,t,̪,i,k,,,,,,,,,,,,,,,,,
o,t,̪,i,b,,,,,,,,,,,,,,,,,,,,,,,
o,t,̪,i,k,r,a,n,̪,t,̪,ɔ,,,,,,,,,,,,,,,,
h,i,ŋ,s,̪,r,ɔ,,,,,,,,,,,,,,,,,,,,,
s,̪,u,p,t,̪,ɔ,,,,,,,,,,,,,,,,,,,,,
s,̪,ɔ,h,i,ŋ,s,̪,ɔ,,,,,,,,,,,,,,,,,,,
ɕ,ɔ,t,̪,r,u,t,̪,a,,,,,,,,,,,,,,,,,,,
b,ɔ,k,r,ɔ,,,,,,,,,,,,,,,,,,,,,,,
p,r,ɔ,d,̪,a,h,ɔ,,,,,,,,,,,,,,,,,,,,
p,r,ɔ,t,̪,d,͡,z,a,k,ʰ,d,͡,z,a,t,̪,,,,,,,,,,,
d,̪,̤,ɽ,i,t,̪,,,,,,,,,,,,,,,,,,,,,
t,̪,u,ʂ,a,r,p,a,t,̪,,,,,,,,,,,,,,,,,,
t,͡,ɕ,ʰ,i,t,,,,,,,,,,,,,,,,,,,,,,
t,͡,ɕ,ɔ,n,t,͡,ɕ,ɔ,l,̪,ɔ,,,,,,,,,,,,,,,,
k,ʂ,o,b,̤,,,,,,,,,,,,,,,,,,,,,,,
u,n,̪,m,a,d,̪,,,,,,,,,,,,,,,,,,,,,
a,t,k,a,,,,,,,,,,,,,,,,,,,,,,,,
o,ɕ,l,̪,i,l,̪,,,,,,,,,,,,,,,,,,,,,
b,r,e,a,k,s,,,,,,,,,,,,,,,,,,,,,,
h,d,͡,z,a,k,,,,,,,,,,,,,,,,,,,,,,
s,̪,ɔ,n,̪,d,̪,e,h,ɔ,d,͡,ʑ,ɔ,n,̪,ɔ,k,ɔ,,,,,,,,,
b,i,l,̪,ɔ,m,b,i,t,̪,,,,,,,,,,,,,,,,,,
b,ɔ,r,n,ɔ,b,a,d,̪,,,,,,,,,,,,,,,,,,,
d,̪,o,ʂ,a,r,o,p,,,,,,,,,,,,,,,,,,,,
t,̪,ɽ,i,ʂ,n,a,,,,,,,,,,,,,,,,,,,,,
d,i,s,r,u,p,t,i,o,n,,,,,,,,,,,,,,,,,,
c,o,n,t,e,n,t,i,o,u,s,,,,,,,,,,,,,,,,,
c,o,n,f,u,s,i,n,g,,,,,,,,,,,,,,,,,,,
b,r,e,a,k,i,n,g,,,,,,,,,,,,,,,,,,,,
a,b,u,s,e,,,,,,,,,,,,,,,,,,,,,,,
s,̪,ɔ,ŋ,k,ɔ,l,̪,p,ɔ,,,,,,,,,,,,,,,,,,
b,i,b,̤,e,d,̪,,,,,,,,,,,,,,,,,,,,,
b,i,d,̪,b,e,ʂ,,,,,,,,,,,,,,,,,,,,,
b,ɔ,k,ʂ,ɔ,,,,,,,,,,,,,,,,,,,,,,,
n,̪,ɔ,r,ɔ,k,ʰ,a,d,̪,ɔ,k,ɔ,,,,,,,,,,,,,,,
d,̪,u,ঃ,k,ʰ,i,t,̪,,,,,,,,,,,,,,,,,,,
u,d,̪,r,e,k,,,,,,,,,,,,,,,,,,,,,,
o,b,i,ɕ,b,a,s,̪,,,,,,,,,,,,,,,,,,,,
o,p,r,ɔ,t,̪,u,l,̪,,,,,,,,,,,,,,,,,,,
o,p,ɔ,b,d,͡,z,ɔ,b,ɔ,h,a,r,,,,,,,,,,,,,,,
o,t,̪,d,͡,z,a,t,͡,ɕ,a,r,i,,,,,,,,,,,,,,,
o,k,ɽ,i,t,̪,k,a,r,d,͡,z,ɔ,,,,,,,,,,,,,,,
p,o,o,r,l,y,,,,,,,,,,,,,,,,,,,,,,
d,o,u,b,t,,,,,,,,,,,,,,,,,,,,,,,
s,̪,ɔ,ŋ,k,ɔ,t,ɔ,,,,,,,,,,,,,,,,,,,,
d,͡,z,ɔ,n,̪,t,̪,r,ɔ,n,a,,,,,,,,,,,,,,,,
m,ɔ,l,̪,i,n,̪,,,,,,,,,,,,,,,,,,,,,
b,e,p,r,o,e,̯,a,,,,,,,,,,,,,,,,,,,,
b,ɔ,̃,d,̪,̤,ɔ,n,̪,ɔ,,,,,,,,,,,,,,,,,,
p,r,ɔ,t,̪,i,b,ɔ,n,̪,d,̪,̤,ɔ,k,ɔ,,,,,,,,,,,,
d,̪,̤,b,ɔ,ŋ,ɕ,ɔ,,,,,,,,,,,,,,,,,,,,
d,̪,u,ঃ,k,ʰ,ɔ,d,͡,ʑ,ɔ,n,̪,ɔ,k,ɔ,,,,,,,,,,,,
d,̪,a,r,u,n,b,̤,a,b,e,,,,,,,,,,,,,,,,,
e,l,̪,o,m,e,l,̪,o,,,,,,,,,,,,,,,,,,,
a,t,̪,ɔ,ŋ,k,i,t,̪,,,,,,,,,,,,,,,,,,,
o,s,̪,ɔ,m,m,ɔ,t,̪,i,,,,,,,,,,,,,,,,,,
o,r,ɔ,k,ʂ,i,t,̪,,,,,,,,,,,,,,,,,,,,
o,n,̪,u,r,b,ɔ,r,ɔ,,,,,,,,,,,,,,,,,,,
t,h,r,e,a,t,s,,,,,,,,,,,,,,,,,,,,,
f,i,c,t,i,o,n,,,,,,,,,,,,,,,,,,,,,
e,x,p,i,r,e,d,,,,,,,,,,,,,,,,,,,,,
d,e,f,a,m,a,t,o,r,y,,,,,,,,,,,,,,,,,,
h,i,ŋ,s,̪,a,,,,,,,,,,,,,,,,,,,,,,
s,̪,ɸ,i,t,̪,,,,,,,,,,,,,,,,,,,,,,
ɕ,i,ɕ,n,̪,ɔ,,,,,,,,,,,,,,,,,,,,,,
b,i,l,̪,ɔ,m,b,ɔ,,,,,,,,,,,,,,,,,,,,
b,i,r,ɔ,k,t,̪,i,k,ɔ,r,ɔ,,,,,,,,,,,,,,,,
b,i,t,͡,ɕ,t,͡,ɕ,ʰ,i,n,̪,n,̪,ɔ,t,̪,a,,,,,,,,,,
n,̪,i,r,ɔ,k,ʂ,ɔ,r,ɔ,,,,,,,,,,,,,,,,,,
n,̪,i,m,ɔ,ɡ,ɔ,n,̪,ɔ,,,,,,,,,,,,,,,,,,
n,̪,i,n,̪,d,̪,i,t,̪,,,,,,,,,,,,,,,,,,
n,̪,i,ঃ,s,̪,ɔ,ŋ,ɡ,ɔ,,,,,,,,,,,,,,,,,,
d,̪,r,ɔ,b,ɔ,n,ɔ,,,,,,,,,,,,,,,,,,,,
t,̪,u,t,͡,ɕ,t,͡,ɕ,ʰ,ɔ,,,,,,,,,,,,,,,,,
t,̪,i,k,t,̪,ɔ,,,,,,,,,,,,,,,,,,,,,
u,d,̪,b,̤,ɔ,t,ɔ,,,,,,,,,,,,,,,,,,,,
o,m,i,l,̪,,,,,,,,,,,,,,,,,,,,,,,
o,b,ɔ,h,e,l,̪,a,,,,,,,,,,,,,,,,,,,,
o,t,̪,ɔ,r,k,i,t,̪,,,,,,,,,,,,,,,,,,,
u,n,n,e,c,e,s,s,a,r,y,,,,,,,,,,,,,,,,,
k,i,l,l,i,n,g,,,,,,,,,,,,,,,,,,,,,
c,o,n,f,u,s,i,o,n,,,,,,,,,,,,,,,,,,,
b,e,s,̪,i,n,̪,,,,,,,,,,,,,,,,,,,,,
b,i,p,ɔ,d,̪,ɔ,d,͡,ʑ,ɔ,n,̪,ɔ,k,ɔ,,,,,,,,,,,,
b,ɔ,̃,k,ɔ,,,,,,,,,,,,,,,,,,,,,,,
n,̪,e,ɡ,e,t,i,b,̤,,,,,,,,,,,,,,,,,,,
d,̪,ɔ,k,ʰ,ɔ,l,̪,ɔ,d,̪,a,r,,,,,,,,,,,,,,,
t,o,l,̪,,,,,,,,,,,,,,,,,,,,,,,,
k,ʰ,u,n,̪,i,,,,,,,,,,,,,,,,,,,,,,
o,n,̪,u,p,d,͡,z,o,ɡ,i,,,,,,,,,,,,,,,,,
l,a,c,k,,,,,,,,,,,,,,,,,,,,,,,,
f,a,l,l,s,,,,,,,,,,,,,,,,,,,,,,,
d,i,e,,,,,,,,,,,,,,,,,,,,,,,,,
c,r,i,t,i,c,i,s,m,,,,,,,,,,,,,,,,,,,
h,i,n,̪,,,,,,,,,,,,,,,,,,,,,,,,
h,ɔ,r,ɔ,n,ɔ,,,,,,,,,,,,,,,,,,,,,,
s,̪,t,̪,ʰ,a,b,ɔ,r,ɔ,,,,,,,,,,,,,,,,,,
s,̪,ɔ,t,̪,ɔ,r,k,ɔ,b,a,r,t,̪,a,,,,,,,,,,,,,
m,u,ɕ,k,i,l,̪,,,,,,,,,,,,,,,,,,,,,
b,i,p,ɔ,t,̪,t,̪,i,,,,,,,,,,,,,,,,,,,
p,l,̪,e,ɡ,,,,,,,,,,,,,,,,,,,,,,,
n,̪,i,t,̪,a,n,̪,t,̪,i,,,,,,,,,,,,,,,,,
n,̪,ɔ,r,ɔ,k,ɔ,,,,,,,,,,,,,,,,,,,,,
d,̪,a,n,̪,a,d,̪,a,r,,,,,,,,,,,,,,,,,,
k,ʰ,ɔ,n,d,i,t,̪,,,,,,,,,,,,,,,,,,,,
o,p,ɔ,h,ɽ,i,t,̪,,,,,,,,,,,,,,,,,,,,
u,n,c,l,e,a,r,,,,,,,,,,,,,,,,,,,,,
m,i,s,t,a,k,e,s,,,,,,,,,,,,,,,,,,,,
a,m,b,i,g,u,o,u,s,,,,,,,,,,,,,,,,,,,
s,̪,b,ɔ,l,̪,p,ɔ,t,̪,a,,,,,,,,,,,,,,,,,
m,ɔ,t,̪,a,n,̪,o,j,k,d,͡,z,ɔ,,,,,,,,,,,,,,
b,̤,u,t,̪,p,u,r,b,ɔ,,,,,,,,,,,,,,,,,,
p,l,̪,a,b,ɔ,n,̪,ɔ,,,,,,,,,,,,,,,,,,,
p,r,a,n,̪,t,̪,i,e,̯,,,,,,,,,,,,,,,,,,
p,r,ɔ,t,̪,a,r,n,a,,,,,,,,,,,,,,,,,,,
p,ɔ,t,͡,ɕ,a,,,,,,,,,,,,,,,,,,,,,,
n,̪,i,r,ɔ,s,̪,t,̪,ɔ,,,,,,,,,,,,,,,,,,
d,̪,u,ʂ,i,t,̪,,,,,,,,,,,,,,,,,,,,,
̤,ɡ,̤,o,r,a,n,̪,o,,,,,,,,,,,,,,,,,,,
ɡ,u,ঁ,ɽ,a,,,,,,,,,,,,,,,,,,,,,,,
i,t,͡,ɕ,t,͡,ɕ,ʰ,a,k,ɽ,i,t,̪,,,,,,,,,,,,,,
o,m,a,n,̪,b,i,k,,,,,,,,,,,,,,,,,,,,
o,p,m,a,n,̪,i,t,̪,,,,,,,,,,,,,,,,,,,
o,n,̪,ɔ,ɡ,ɔ,r,ɔ,s,̪,ɔ,r,ɔ,,,,,,,,,,,,,,,
s,t,r,i,c,t,l,y,,,,,,,,,,,,,,,,,,,,
r,i,s,k,,,,,,,,,,,,,,,,,,,,,,,,
i,n,v,i,s,i,b,l,e,,,,,,,,,,,,,,,,,,,
e,r,r,,,,,,,,,,,,,,,,,,,,,,,,,
c,o,n,c,e,r,n,e,d,,,,,,,,,,,,,,,,,,,
b,i,a,s,e,d,,,,,,,,,,,,,,,,,,,,,,
ɕ,u,n,̪,d,͡,z,ɔ,s,̪,t,̪,ʰ,a,n,̪,,,,,,,,,,,,
m,a,t,̪,a,l,̪,,,,,,,,,,,,,,,,,,,,,
b,̤,ɔ,ɡ,ɔ,n,̪,ɔ,,,,,,,,,,,,,,,,,,,,
b,i,ɕ,ɽ,i,ŋ,k,ʰ,ɔ,l,̪,a,r,,,,,,,,,,,,,,,
b,i,d,̪,r,u,p,,,,,,,,,,,,,,,,,,,,,
p,r,ɔ,r,o,t,͡,ɕ,n,̪,a,e,̯,,,,,,,,,,,,,,,
p,ɔ,r,ɔ,s,̪,p,ɔ,r,ɔ,b,i,r,o,d,̪,̤,i,,,,,,,,,,
p,ɔ,ŋ,ɡ,u,,,,,,,,,,,,,,,,,,,,,,,
n,̪,o,j,r,a,d,͡,ʑ,d,͡,z,ɔ,b,a,d,̪,i,,,,,,,,,,
