"V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23"
"k","o","n","s","w","e","l","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"p","<U+027E>","o","d","i","x","i","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","u","p","o","s","i","s","i","o","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"m","a","s","t","e","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"e","k","s","s","e","d","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"i","n","d","u","l","t","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"e","<U+027E>","e","d","a","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"e","k","s","a","u","s","t","i","b","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b","e","n","e","f","i","k","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","a","t","i","s","f","a","k","t","o","<U+027E>","j","a","m","e","n","t","e",NA,NA,NA,NA
"o","n","e","s","t","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b","i","b","<U+027E>","a","n","t","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"e","l","o","x","i","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u","n","i","f","o","<U+027E>","m","e","m","e","n","t","e",NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","o","<U+027E>","o","n","a","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","g","<U+027E>","a","d","e","s","i","d","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","a","<U+027E>","i","s","m","a","t","i","k","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"o","n","o","<U+027E>","a","b","l","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"e","n","e","<U+027E>","x","i","k","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"t","e","n","a","s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"m","e","<U+027E>","e","s","e","d","o","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"e","s","t","i","m","u","l","a","n","t","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","u","s","p","i","s","i","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"p","<U+027E>","o","m","i","n","e","n","s","i","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"p","a","t","<U+027E>","j","o","t","i","k","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"f","l","o","<U+027E>","e","s","e","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","o","n","s","u","m","a","d","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"e","k","s","p","<U+027E>","e","s","i","b","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","u","s","t","e","n","t","a","s","i","o","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"f","<U+027E>","a","x","i","l","i","d","a","d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"i","n","x","e","n","j","o","s","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+027E>","i","k","a","m","e","n","t","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","o","f","<U+027E>","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b","e","n","e","f","i","s","i","o","s","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","o","n","f","i","d","e","n","t","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"e","k","s","t","a","s","i","s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+027E>","e","s","p","a","l","d","a","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"p","<U+027E>","o","g","<U+027E>","e","s","a","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"p","<U+027E>","o","f","u","s","j","o","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g","<U+027E>","a","s","i","o","s","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b","e","n","e","f","a","k","t","o","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"p","<U+027E>","e","m","j","a","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","o","o","p","e","<U+027E>","a","t","i","b","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g","l","o","<U+027E>","j","o","s","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","a","<U+027E>","a","m","e","l","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"e","m","p","u","x","a","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"f","a","s","s","i","n","a","n","t","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"i","n","b","e","n","s","i","b","l","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"i","l","i","m","i","t","a","d","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"p","e","<U+027E>","m","i","t","i","<U+027E>","s","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","o","m","p","<U+027E>","e","n","s","i","b","l","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"m","a","x","e","s","t","a","d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d","e","s","e","a","n","d","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"m","i","l","a","g","<U+027E>","o","s","a","m","e","n","t","e",NA,NA,NA,NA,NA,NA,NA,NA
"a","f","o","<U+027E>","t","u","n","a","d","a","m","e","n","t","e",NA,NA,NA,NA,NA,NA,NA
"a","t","e","n","t","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"p","e","<U+027E>","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","i","n","s","e","<U+027E>","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","u","b","l","i","m","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+027E>","a","s","o","n","a","b","l","e","m","e","n","t","e",NA,NA,NA,NA,NA,NA,NA,NA
"s","a","t","i","s","f","a","k","t","o","<U+027E>","j","o",NA,NA,NA,NA,NA,NA,NA,NA,NA
"e","m","p","a","t","j","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"e","k","s","k","i","s","i","t","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","i","l","e","n","s","i","o","s","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","g","<U+027E>","a","d","e","s","e","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"o","b","e","<U+027E>","t","u","<U+027E>","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n","a","t","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"e","m","p","<U+027E>","e","n","d","e","d","o","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","u","t","o","<U+027E>","i","s","a","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","e","<U+027E>","e","n","i","d","a","d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"f","e","s","t","e","x","a","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d","i","l","i","x","e","n","s","i","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g","w","a","p","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"l","i","b","<U+027E>","a","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"i","l","u","m","i","n","a","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"p","<U+027E>","e","d","i","l","e","k","t","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"e","n","<U+027E>","i","k","e","s","e","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"p","<U+027E>","o","s","p","e","<U+027E>","a","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d","e","s","e","n","t","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"p","u","l","i","d","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","u","s","t","e","n","t","a","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"x","e","n","w","i","n","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"f","e","l","i","s","m","e","n","t","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b","o","s","e","<U+027E>","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"o","t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b","e","n","e","f","i","s","i","a","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","a","l","b","a","d","o","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"i","m","p","<U+027E>","e","s","j","o","n","a","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+027E>","e","s","p","l","a","n","d","o","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","<U+027E>","e","i","b","l","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","t","<U+027E>","e","b","i","d","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"e","s","t","i","l","i","s","a","d","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b","e","n","j","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","i","n","s","e","<U+027E>","i","d","a","d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"l","u","t<U+0361><U+0283>","a","d","o","<U+027E>","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"o","s","p","i","t","a","l","a","<U+027E>","j","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","b","i","l","m","e","n","t","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"t","j","e","<U+027E>","n","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b","e","n","i","g","n","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+027E>","a","d","j","a","n","t","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g","a","l","a","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"e","f","i","s","i","e","n","t","e","m","e","n","t","e",NA,NA,NA,NA,NA,NA,NA,NA
"e","u","f","o","<U+027E>","j","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","i","n","s","e","<U+027E>","a","m","e","n","t","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"i","m","p","a","<U+027E>","s","i","a","l",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"m","a","x","e","s","t","w","o","s","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","p","a","s","i","b","l","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g","<U+027E>","a","n","d","j","o","s","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"f","a","i","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","l","e","n","t","a","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"w","o","<U+027E>","k",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"e","k","s","s","e","d","e","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","o","n","d","i","m","e","n","t","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","o","m","o","d","a","m","e","n","t","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"l","i","n","d","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","d","i","b","i","n","a","s","i","o","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"e","s","p","l","e","n","d","i","d","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"m","i","n","u","s","i","o","s","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","p","o","i","a","<U+027E>","s","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"p","<U+027E>","e","f","e","<U+027E>","i","b","l","e","m","e","n","t","e",NA,NA,NA,NA,NA,NA,NA
"a","f","o","<U+027E>","t","u","n","a","d","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"e","l","o","k","w","e","n","s","i","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"p","<U+027E>","e","m","j","e","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d","i","s","f","<U+027E>","u","t","a","d","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"e","n","t","<U+027E>","e","t","e","n","e","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"m","i","n","u","s","i","o","s","a","m","e","n","t","e",NA,NA,NA,NA,NA,NA,NA,NA
"b","e","n","t","i","l","a","d","o","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"l","u","s","i","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","m","a","b","i","l","i","d","a","d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","o","l","b","e","n","s","i","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+027E>","e","b","i","b","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d","e","s","p","e","x","a","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b","<U+027E>","i","<U+029D>","a","n","t","e","s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b","<U+027E>","i","<U+029D>","a","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"t","e","n","d","e","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"p","e","<U+027E>","s","o","n","a","l","i","s","a","d","o",NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","a","n","s","i","o","n","a","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","b","<U+027E>","a","s","a","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b","e","<U+027E>","i","f","i","k","a","b","l","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+027E>","e","k","o","m","e","n","d","a","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"p","<U+027E>","e","f","e","<U+027E>","i","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g","o","o","d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","o","m","p","l","e","m","e","n","t","a","d","o",NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","a","b","e","s","a","l",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+027E>","e","x","i","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","p","w","e","s","t","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b","i","b","a","s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d","e","l","i","k","a","d","e","s","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"p","e","l","u","t<U+0361><U+0283>","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"f","e","l","i","s","i","t","a","s","i","o","n","e","s",NA,NA,NA,NA,NA,NA,NA,NA
"t","a","k","i","<U+029D>","e","<U+027E>","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","g","<U+027E>","a","d","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","p","e","l","a","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"e","n","k","a","n","t","a","d","o","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g","<U+027E>","a","n","d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","d","i","b","i","n","a","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b","i","s","j","o","n","a","<U+027E>","j","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","s","o","m","b","<U+027E>","o","s","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"o","b","a","s","i","o","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"e","s","t","a","b","l","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"i","n","s","p","i","<U+027E>","a","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"p","<U+027E>","e","g","w","n","t","a","<U+027E>","s","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b","o","n","i","f","i","k","a","s","i","o","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d","u","l","s","u","<U+027E>","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"e","n","t","<U+027E>","a","<U+0272>","a","b","l","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","o","<U+027E>","t","e","s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+027E>","e","s","p","e","t","w","o","s","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"i","n","t","w","i","t","i","b","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g","<U+027E>","a","n","i","s","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","e","n","i","t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","s","e","k","i","b","l","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"l","u","k","<U+027E>","a","t","i","b","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"p","<U+027E>","o","m","e","t","e","d","o","<U+027E>","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","o","n","f","i","d","e","n","s","i","a","l",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"m","e","<U+027E>","i","t","o","<U+027E>","j","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"f","<U+027E>","u","k","t","i","f","e","<U+027E>","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","d","o","<U+027E>","a","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+027E>","e","b","i","t","a","l","i","s","a","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"i","n","s","p","i","<U+027E>","a","d","o","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+027E>","e","a","f","i","<U+027E>","m","a","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"x","u","b","i","l","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"i","m","p","a","<U+027E>","s","i","a","l","i","d","a","d",NA,NA,NA,NA,NA,NA,NA,NA,NA
"g","w","a","p","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"e","s","k","l","a","<U+027E>","e","s","e","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"e","l","o","k","w","e","n","t","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","d","o","<U+027E>","a","d","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+027E>","e","l","a","x","a","d","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"m","o","d","e","s","t","j","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d","i","b","e","<U+027E>","s","i","f","i","k","a","d","o",NA,NA,NA,NA,NA,NA,NA,NA,NA
"t","<U+027E>","j","u","n","f","a","d","o","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"p","e","<U+027E>","s","e","b","e","<U+027E>","a","n","s","i","a",NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","a","l","u","d","a","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","a","n","a","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b","<U+027E>","i","s","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+027E>","e","b","e","<U+027E>","e","n","s","i","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+027E>","e","m","e","d","j","a","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","a","<U+027E>","i","<U+0272>","o","s","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","k","a","u","d","a","l","a","d","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"i","r","e","s","i","s","t","i","b","l","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"f","<U+027E>","a","n","k","a","m","e","n","t","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b","e","a","t","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"e","m","o","s","i","o","n","a","d","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","i","m","p","l","i","f","i","k","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+027E>","e","m","a","t","a","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+027E>","a","s","o","n","a","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"p","o","d","e","<U+027E>","o","s","a","m","e","n","t","e",NA,NA,NA,NA,NA,NA,NA,NA,NA
"w","e","<U+029D>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","o","n","b","e","n","s","i","m","j","e","n","t","o",NA,NA,NA,NA,NA,NA,NA,NA
"p","u","<U+027E>","i","f","i","k","a","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"m","o","<U+027E>","d","e","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b","e","n","s","i","m","j","e","n","t","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"m","o","t","i","b","a","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","e","<U+027E>","e","s","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+027E>","e","s","p","i","<U+027E>","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b","e","n","e","f","i","s","i","a","<U+027E>","j","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+027E>","e","m","i","s","j","o","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","f","i","l","a","d","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+027E>","a","s","i","o","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"p","<U+027E>","o","m","e","t","e","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","o","m","p","l","a","s","e","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","b","i","d","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
