0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
d,͡,ʒ,i,ː,d,,,,,,,,,,,,,,,,,,,,,
s,b,q,,,,,,,,,,,,,,,,,,,,,,,,
s,h,l,,,,,,,,,,,,,,,,,,,,,,,,
ʃ,ɣ,l,,,,,,,,,,,,,,,,,,,,,,,,
n,d,͡,ʒ,a,ː,ħ,,,,,,,,,,,,,,,,,,,,
ʃ,h,r,ة,,,,,,,,,,,,,,,,,,,,,,,
ħ,f,ð,ˤ,,,,,,,,,,,,,,,,,,,,,,,
t,ħ,s,i,ː,n,,,,,,,,,,,,,,,,,,,,,
x,i,ː,r,,,,,,,,,,,,,,,,,,,,,,,
m,ʕ,r,d,ˤ,,,,,,,,,,,,,,,,,,,,,,
a,ʃ,t,h,r,,,,,,,,,,,,,,,,,,,,,,
u,ː,a,ː,d,ˤ,ħ,,,,,,,,,,,,,,,,,,,,
m,s,a,ː,ʕ,d,ة,,,,,,,,,,,,,,,,,,,,
s,ˤ,b,a,ː,ħ,,,,,,,,,,,,,,,,,,,,,
a,ٔ,b,t,ˤ,a,ː,l,,,,,,,,,,,,,,,,,,,
r,i,ː,ٔ,i,ː,s,i,ː,,,,,,,,,,,,,,,,,,
t,q,d,i,ː,r,,,,,,,,,,,,,,,,,,,,,
k,m,a,ː,l,,,,,,,,,,,,,,,,,,,,,,
b,t,ˤ,l,,,,,,,,,,,,,,,,,,,,,,,
ħ,b,,,,,,,,,,,,,,,,,,,,,,,,,
b,q,u,ː,ة,,,,,,,,,,,,,,,,,,,,,,
s,ˤ,ħ,ة,,,,,,,,,,,,,,,,,,,,,,,
m,n,ħ,,,,,,,,,,,,,,,,,,,,,,,,
a,l,ʕ,q,l,,,,,,,,,,,,,,,,,,,,,,
ħ,r,i,ː,ة,,,,,,,,,,,,,,,,,,,,,,
b,s,h,u,ː,l,ة,,,,,,,,,,,,,,,,,,,,
a,l,m,a,ː,d,͡,ʒ,s,t,i,ː,r,,,,,,,,,,,,,,
a,ٔ,ʕ,ð,ˤ,m,,,,,,,,,,,,,,,,,,,,,
q,u,ː,i,ː,,,,,,,,,,,,,,,,,,,,,,
q,a,ː,d,,,,,,,,,,,,,,,,,,,,,,,
t,ħ,s,ˤ,l,,,,,,,,,,,,,,,,,,,,,,
ʕ,m,l,t,,,,,,,,,,,,,,,,,,,,,,,
n,s,ˤ,r,,,,,,,,,,,,,,,,,,,,,,,
a,x,t,l,a,ː,f,,,,,,,,,,,,,,,,,,,,
a,ٔ,q,u,ː,ى,,,,,,,,,,,,,,,,,,,,,
h,z,i,ː,m,ة,,,,,,,,,,,,,,,,,,,,,
s,l,a,ː,m,,,,,,,,,,,,,,,,,,,,,,
d,͡,ʒ,m,i,ː,l,,,,,,,,,,,,,,,,,,,,
m,h,m,,,,,,,,,,,,,,,,,,,,,,,,
n,d,͡,ʒ,ħ,,,,,,,,,,,,,,,,,,,,,,
a,t,f,a,ː,q,,,,,,,,,,,,,,,,,,,,,
ʃ,r,f,,,,,,,,,,,,,,,,,,,,,,,,
r,a,ː,ʃ,d,,,,,,,,,,,,,,,,,,,,,,
a,l,d,͡,ʒ,u,ː,a,ː,i,ː,ٔ,z,,,,,,,,,,,,,,
