0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
l,e,s,b,a,ə,,,,,,,,,,,,,,,,,,,,,
t,r,a,n,s,p,a,ː,r,ə,n,t,,,,,,,,,,,,,,,
t,r,o,s,t,,,,,,,,,,,,,,,,,,,,,,
t,͡,s,e,ː,r,i,ø,s,ə,,,,,,,,,,,,,,,,,
f,l,e,k,s,i,ː,b,e,l,,,,,,,,,,,,,,,,,
ɡ,e,ː,d,u,l,t,,,,,,,,,,,,,,,,,,,,
t,͡,s,a,n,f,t,,,,,,,,,,,,,,,,,,,,
h,a,i,e,l,i,k,,,,,,,,,,,,,,,,,,,,
r,u,ː,h,i,ː,ɡ,ə,n,,,,,,,,,,,,,,,,,,
v,i,ə,t,͡,ʃ,a,f,t,l,i,x,k,a,i,t,,,,,,,,,,,
t,u,ː,ɡ,ə,n,t,,,,,,,,,,,,,,,,,,,,
ɡ,e,ː,l,i,ŋ,ə,n,,,,,,,,,,,,,,,,,,,
v,y,ə,d,i,k,,,,,,,,,,,,,,,,,,,,,
s,t,a,ː,b,i,ː,l,i,s,i,ː,r,ə,n,,,,,,,,,,,,
e,ə,l,ø,ː,s,u,ŋ,k,,,,,,,,,,,,,,,,,,
f,r,e,ə,,,,,,,,,,,,,,,,,,,,,,,
ʃ,v,a,i,e,ɡ,ə,n,,,,,,,,,,,,,,,,,,,
ɡ,e,ː,n,i,ə,,,,,,,,,,,,,,,,,,,,,
p,r,e,s,t,i,ɡ,ə,,,,,,,,,,,,,,,,,,,
b,e,ː,v,e,k,l,i,x,k,a,i,t,,,,,,,,,,,,,,
f,a,s,t,͡,s,i,ː,n,a,t,s,i,o,n,,,,,,,,,,,,
f,o,ə,t,a,i,l,h,a,f,t,,,,,,,,,,,,,,,,
v,o,ə,k,,,,,,,,,,,,,,,,,,,,,,,
t,͡,s,u,ː,n,a,i,e,ɡ,u,ŋ,k,,,,,,,,,,,,,,
l,e,ː,n,ə,n,,,,,,,,,,,,,,,,,,,,,
b,e,ː,ʃ,a,i,e,d,ə,n,,,,,,,,,,,,,,,,,
m,a,i,s,t,e,ə,v,e,ə,k,,,,,,,,,,,,,,,,
t,͡,s,u,ː,s,a,ɡ,ə,,,,,,,,,,,,,,,,,,
l,o,ː,k,ə,n,,,,,,,,,,,,,,,,,,,,,
f,r,u,x,t,b,a,r,ə,,,,,,,,,,,,,,,,,,
f,o,ə,t,͡,s,u,k,,,,,,,,,,,,,,,,,,,
s,p,i,ː,r,i,t,u,e,l,ə,n,,,,,,,,,,,,,,,
ɡ,a,ː,r,a,n,t,i,ə,,,,,,,,,,,,,,,,,,
p,r,o,m,p,t,,,,,,,,,,,,,,,,,,,,,
i,ː,d,e,a,l,,,,,,,,,,,,,,,,,,,,,
f,e,ː,r,a,i,n,f,a,ː,x,ə,n,,,,,,,,,,,,,,
b,e,s,t,,,,,,,,,,,,,,,,,,,,,,,
ø,ː,k,o,ː,n,o,m,i,ʃ,,,,,,,,,,,,,,,,,
ɡ,o,ÿ,b,t,,,,,,,,,,,,,,,,,,,,,,
x,a,ə,m,ə,,,,,,,,,,,,,,,,,,,,,,
u,m,s,o,n,s,t,,,,,,,,,,,,,,,,,,,,
m,e,ə,k,l,i,x,,,,,,,,,,,,,,,,,,,,
p,o,ː,s,i,ː,t,i,f,e,s,,,,,,,,,,,,,,,,
u,n,b,e,k,r,ə,n,t,͡,s,t,,,,,,,,,,,,,,,
d,y,n,a,ː,m,i,ʃ,,,,,,,,,,,,,,,,,,,
h,a,i,e,l,ə,n,,,,,,,,,,,,,,,,,,,,
ʃ,ø,n,s,t,ə,,,,,,,,,,,,,,,,,,,,,
m,o,ː,n,u,ː,m,ə,n,t,a,ː,l,ə,n,,,,,,,,,,,,
i,n,t,r,i,ː,ɡ,ə,n,,,,,,,,,,,,,,,,,,
a,ŋ,e,ː,n,e,ː,m,,,,,,,,,,,,,,,,,,,
b,e,ː,f,y,ə,v,o,ə,t,e,t,,,,,,,,,,,,,,,
a,b,s,t,i,m,ə,n,,,,,,,,,,,,,,,,,,,
o,b,e,ə,s,t,ə,,,,,,,,,,,,,,,,,,,,
o,r,a,ː,k,e,l,,,,,,,,,,,,,,,,,,,,
t,͡,s,u,b,s,t,a,n,t,i,f,,,,,,,,,,,,,,,
i,n,s,p,i,ː,r,i,ː,r,ə,n,,,,,,,,,,,,,,,
s,t,y,t,͡,s,ə,,,,,,,,,,,,,,,,,,,,
i,n,t,e,k,r,a,l,,,,,,,,,,,,,,,,,,,
y,ː,b,e,ə,ʃ,r,a,i,e,t,e,t,,,,,,,,,,,,,,
e,ə,r,e,ɡ,t,,,,,,,,,,,,,,,,,,,,,
k,o,m,p,a,k,t,,,,,,,,,,,,,,,,,,,,
v,i,ə,b,e,l,s,o,y,l,ə,,,,,,,,,,,,,,,,
t,͡,s,i,k,n,i,ː,f,i,k,a,n,t,ə,,,,,,,,,,,,
n,a,ː,j,a,,,,,,,,,,,,,,,,,,,,,,
o,f,ə,n,h,a,i,t,,,,,,,,,,,,,,,,,,,
b,e,ː,t,͡,s,o,y,h,ɡ,ə,n,,,,,,,,,,,,,,,
t,͡,s,a,u,b,ə,,,,,,,,,,,,,,,,,,,,
b,e,k,r,y,s,ə,n,,,,,,,,,,,,,,,,,,,
t,͡,s,ə,n,s,a,t,s,i,o,n,,,,,,,,,,,,,,,
ɡ,e,ː,ʃ,i,k,t,ə,,,,,,,,,,,,,,,,,,,
r,e,t,ə,,,,,,,,,,,,,,,,,,,,,,,
l,i,ː,p,t,ə,,,,,,,,,,,,,,,,,,,,,
t,͡,s,i,ː,ɡ,e,ː,r,i,n,,,,,,,,,,,,,,,,
v,i,l,k,o,m,ə,n,,,,,,,,,,,,,,,,,,,
l,i,ː,b,e,ː,f,o,l,,,,,,,,,,,,,,,,,,
s,p,e,k,t,a,ː,k,u,ː,l,e,r,ə,,,,,,,,,,,,,
n,a,ː,t,l,o,s,,,,,,,,,,,,,,,,,,,,
n,a,x,r,i,x,t,ə,n,d,i,ː,n,s,t,,,,,,,,,,,,
l,a,i,s,ə,,,,,,,,,,,,,,,,,,,,,,
r,ə,n,n,s,t,a,l,,,,,,,,,,,,,,,,,,,
k,o,n,t,r,a,k,t,,,,,,,,,,,,,,,,,,,
t,͡,s,u,ː,s,a,m,ə,n,h,a,l,t,,,,,,,,,,,,,
m,a,ː,j,e,s,t,e,t,,,,,,,,,,,,,,,,,,
r,e,x,t,v,i,ŋ,k,l,i,k,,,,,,,,,,,,,,,,
b,e,ː,v,e,k,l,i,x,,,,,,,,,,,,,,,,,,
a,u,s,ɡ,e,ː,f,a,l,ə,n,,,,,,,,,,,,,,,,
i,n,t,e,k,r,i,ː,t,e,t,,,,,,,,,,,,,,,,
f,r,u,x,t,b,a,ə,,,,,,,,,,,,,,,,,,,
v,a,ː,ɡ,ə,n,,,,,,,,,,,,,,,,,,,,,
ɡ,o,ː,t,,,,,,,,,,,,,,,,,,,,,,,
d,e,m,e,ː,r,u,ŋ,k,,,,,,,,,,,,,,,,,,
k,o,m,f,o,ə,t,,,,,,,,,,,,,,,,,,,,
f,r,ø,m,i,k,k,a,i,t,,,,,,,,,,,,,,,,,
t,ə,n,d,ə,,,,,,,,,,,,,,,,,,,,,,
e,ə,f,r,o,y,ə,n,,,,,,,,,,,,,,,,,,,
a,f,i,l,f,ə,,,,,,,,,,,,,,,,,,,,,
a,i,n,f,a,ə,b,i,k,,,,,,,,,,,,,,,,,,
e,d,e,l,s,t,a,ː,l,,,,,,,,,,,,,,,,,,
f,e,ə,k,n,y,ː,ɡ,ə,n,,,,,,,,,,,,,,,,,
d,a,ŋ,k,b,a,ə,k,a,i,t,,,,,,,,,,,,,,,,
ɡ,e,ː,d,a,i,e,ː,ə,n,,,,,,,,,,,,,,,,,
s,p,u,ə,l,o,s,,,,,,,,,,,,,,,,,,,,
a,i,n,t,r,u,k,s,f,o,l,,,,,,,,,,,,,,,,
ɡ,e,o,ə,t,n,e,ː,t,ə,n,,,,,,,,,,,,,,,,
ʃ,i,f,b,a,ə,,,,,,,,,,,,,,,,,,,,,
s,t,i,e,l,i,s,i,ː,ə,t,ə,n,,,,,,,,,,,,,,
h,a,ə,m,o,ː,n,i,ʃ,,,,,,,,,,,,,,,,,,
t,͡,s,u,ː,p,e,ː,r,i,o,ə,,,,,,,,,,,,,,,
u,n,b,e,s,t,r,i,t,ə,n,,,,,,,,,,,,,,,,
e,ə,m,u,ː,t,i,ɡ,t,,,,,,,,,,,,,,,,,,
a,u,h,t,o,ː,n,o,m,,,,,,,,,,,,,,,,,,
f,o,l,ə,n,d,ə,n,,,,,,,,,,,,,,,,,,,
b,e,k,v,e,m,,,,,,,,,,,,,,,,,,,,,
b,e,ː,r,u,ː,h,i,ː,ɡ,ə,n,,,,,,,,,,,,,,,
s,p,a,n,ə,n,t,,,,,,,,,,,,,,,,,,,,
e,ː,r,ə,n,,,,,,,,,,,,,,,,,,,,,,
f,e,ə,j,y,ŋ,t,,,,,,,,,,,,,,,,,,,,
s,t,i,l,ə,n,,,,,,,,,,,,,,,,,,,,,
f,e,ː,r,a,n,l,a,s,ə,n,,,,,,,,,,,,,,,,
l,y,r,i,ʃ,ə,,,,,,,,,,,,,,,,,,,,,
t,͡,s,o,ə,k,f,a,l,t,,,,,,,,,,,,,,,,,
b,e,ː,ɡ,a,i,s,t,e,ə,n,,,,,,,,,,,,,,,,
t,͡,s,u,f,r,i,ː,d,ə,n,h,a,i,t,,,,,,,,,,,,
e,ə,l,a,i,x,t,e,ː,r,u,ŋ,k,,,,,,,,,,,,,,
l,o,f,ə,,,,,,,,,,,,,,,,,,,,,,,
l,e,ː,b,ə,n,d,i,ç,ə,,,,,,,,,,,,,,,,,
b,e,f,r,i,ː,d,i,ː,ɡ,u,ŋ,k,,,,,,,,,,,,,,
b,e,ː,v,u,n,d,e,ː,r,u,ŋ,k,,,,,,,,,,,,,,
a,i,f,ə,,,,,,,,,,,,,,,,,,,,,,,
m,a,x,b,a,ə,,,,,,,,,,,,,,,,,,,,,
a,u,t,ə,n,t,i,ʃ,,,,,,,,,,,,,,,,,,,
f,l,e,k,s,i,p,l,ə,,,,,,,,,,,,,,,,,,
h,e,ə,r,l,i,x,k,a,i,t,,,,,,,,,,,,,,,,
t,͡,s,u,ː,t,i,e,f,s,t,,,,,,,,,,,,,,,,
r,e,ː,f,o,ː,l,u,t,s,i,o,ː,n,e,ə,,,,,,,,,,,
r,y,k,k,r,a,t,,,,,,,,,,,,,,,,,,,,
o,a,s,ə,,,,,,,,,,,,,,,,,,,,,,,
a,u,s,d,a,u,ə,,,,,,,,,,,,,,,,,,,,
e,f,i,ː,t,͡,s,i,ː,n,t,ə,,,,,,,,,,,,,,,
s,p,i,ː,t,͡,s,ə,n,k,r,u,p,ə,,,,,,,,,,,,,
y,ː,b,e,ə,t,r,e,f,ə,n,,,,,,,,,,,,,,,,
b,e,f,r,i,ː,d,i,ː,ɡ,ə,n,,,,,,,,,,,,,,,
b,i,l,i,ː,ɡ,ə,n,,,,,,,,,,,,,,,,,,,
v,i,ː,t,͡,s,i,k,,,,,,,,,,,,,,,,,,,
e,f,e,k,t,i,e,f,i,t,e,t,,,,,,,,,,,,,,,
s,p,o,n,t,a,n,ə,,,,,,,,,,,,,,,,,,,
o,p,j,e,k,t,i,e,f,i,t,e,t,,,,,,,,,,,,,,
r,a,t,s,i,o,ː,n,a,l,,,,,,,,,,,,,,,,,
a,f,i,ː,n,i,t,e,t,,,,,,,,,,,,,,,,,,
e,ə,s,t,a,u,n,t,,,,,,,,,,,,,,,,,,,
k,o,n,f,o,ə,m,,,,,,,,,,,,,,,,,,,,
a,i,n,v,a,n,d,f,r,a,i,e,,,,,,,,,,,,,,,
h,e,ə,t,ə,,,,,,,,,,,,,,,,,,,,,,
y,ː,b,e,ə,h,o,l,t,ə,,,,,,,,,,,,,,,,,
p,r,o,ː,m,i,ː,n,ə,n,t,,,,,,,,,,,,,,,,
k,l,a,u,f,a,f,t,,,,,,,,,,,,,,,,,,,
k,a,p,ə,,,,,,,,,,,,,,,,,,,,,,,
v,u,n,d,e,ə,b,a,ə,,,,,,,,,,,,,,,,,,
l,o,y,a,l,,,,,,,,,,,,,,,,,,,,,,
a,u,f,k,l,e,r,ə,n,,,,,,,,,,,,,,,,,,
t,o,l,,,,,,,,,,,,,,,,,,,,,,,,
k,i,ə,m,e,s,,,,,,,,,,,,,,,,,,,,,
r,a,i,f,,,,,,,,,,,,,,,,,,,,,,,
k,r,a,u,t,,,,,,,,,,,,,,,,,,,,,,
t,͡,s,y,s,,,,,,,,,,,,,,,,,,,,,,
b,e,ː,ɡ,a,p,t,ə,,,,,,,,,,,,,,,,,,,
f,o,ə,t,ɡ,e,ʃ,r,i,t,ə,n,,,,,,,,,,,,,,,
m,a,s,ɡ,e,ː,b,ə,n,t,,,,,,,,,,,,,,,,,
s,p,a,ə,s,a,m,,,,,,,,,,,,,,,,,,,,
l,i,ː,p,,,,,,,,,,,,,,,,,,,,,,,
m,o,x,t,ə,,,,,,,,,,,,,,,,,,,,,,
f,e,ə,t,͡,s,i,ː,r,u,ŋ,k,,,,,,,,,,,,,,,
p,o,ː,s,i,ː,t,i,f,,,,,,,,,,,,,,,,,,
y,ː,b,e,ə,s,t,a,i,e,ɡ,ə,n,,,,,,,,,,,,,,
i,n,t,e,l,i,ː,ɡ,ə,n,t,,,,,,,,,,,,,,,,
ɡ,e,ː,v,a,n,t,,,,,,,,,,,,,,,,,,,,
v,a,i,x,ə,,,,,,,,,,,,,,,,,,,,,,
k,l,a,u,p,v,y,ə,d,i,k,,,,,,,,,,,,,,,,
f,e,ə,s,p,r,e,ː,x,ə,n,,,,,,,,,,,,,,,,
e,m,p,͡,f,i,n,d,u,ŋ,ə,n,,,,,,,,,,,,,,,
r,o,ː,b,u,s,t,,,,,,,,,,,,,,,,,,,,
m,a,i,s,t,e,ə,v,e,ə,k,ə,,,,,,,,,,,,,,,
h,a,i,l,m,i,t,e,l,,,,,,,,,,,,,,,,,,
h,ø,ə,b,a,ə,,,,,,,,,,,,,,,,,,,,,
p,o,e,ː,t,i,ʃ,ə,,,,,,,,,,,,,,,,,,,
b,a,i,e,f,a,l,,,,,,,,,,,,,,,,,,,,
s,t,r,e,ː,b,ə,n,,,,,,,,,,,,,,,,,,,
f,l,a,i,s,i,k,,,,,,,,,,,,,,,,,,,,
b,e,ː,f,e,ː,i,ç,t,,,,,,,,,,,,,,,,,,
p,o,ː,s,i,ː,t,i,f,ə,,,,,,,,,,,,,,,,,
ʃ,l,y,s,i,k,,,,,,,,,,,,,,,,,,,,,
r,a,i,ə,n,i,ç,ə,n,,,,,,,,,,,,,,,,,,
f,e,ə,t,r,a,u,ə,n,,,,,,,,,,,,,,,,,,
a,u,s,ɡ,e,ː,l,a,s,ə,n,,,,,,,,,,,,,,,,
b,e,ː,l,e,b,ə,n,,,,,,,,,,,,,,,,,,,
l,a,i,x,t,i,k,k,a,i,t,,,,,,,,,,,,,,,,
ɡ,e,ː,l,i,ː,b,t,,,,,,,,,,,,,,,,,,,
m,a,ː,t,e,ː,r,i,ː,l,,,,,,,,,,,,,,,,,
e,l,e,ː,ɡ,a,n,t,,,,,,,,,,,,,,,,,,,
f,i,ː,l,s,a,i,e,t,i,k,k,a,i,t,,,,,,,,,,,,
p,r,o,ː,d,u,k,t,i,f,,,,,,,,,,,,,,,,,
r,e,ː,ɡ,a,l,,,,,,,,,,,,,,,,,,,,,
ɡ,e,ː,v,e,ː,ə,l,a,i,s,t,u,ŋ,k,,,,,,,,,,,,
ɡ,e,ː,l,e,ː,ə,t,ə,n,,,,,,,,,,,,,,,,,
b,e,ː,ɡ,y,n,s,t,i,e,ɡ,ə,n,,,,,,,,,,,,,,
a,n,f,y,ː,r,ə,n,,,,,,,,,,,,,,,,,,,
m,a,ː,l,e,ː,r,i,ʃ,ə,,,,,,,,,,,,,,,,,
f,e,ə,ɡ,e,ː,b,u,ŋ,k,,,,,,,,,,,,,,,,,
p,l,e,d,i,ː,r,ə,n,,,,,,,,,,,,,,,,,,
p,l,y,ː,h,ə,n,,,,,,,,,,,,,,,,,,,,
h,a,ə,m,l,o,s,,,,,,,,,,,,,,,,,,,,
ɡ,e,ː,v,a,l,t,i,k,,,,,,,,,,,,,,,,,,
f,r,ø,ː,l,i,x,,,,,,,,,,,,,,,,,,,,
f,e,ə,v,u,n,d,e,ə,l,i,x,,,,,,,,,,,,,,,
b,e,ː,v,u,n,d,e,ə,n,,,,,,,,,,,,,,,,,
a,n,r,a,i,e,x,e,ː,r,u,ŋ,k,,,,,,,,,,,,,,
k,r,a,i,e,s,e,l,,,,,,,,,,,,,,,,,,,
ɡ,e,ː,v,a,ɡ,t,,,,,,,,,,,,,,,,,,,,
l,e,f,a,f,t,,,,,,,,,,,,,,,,,,,,,
p,r,a,x,t,,,,,,,,,,,,,,,,,,,,,,
v,e,l,,,,,,,,,,,,,,,,,,,,,,,,
t,͡,s,e,ː,l,e,k,t,i,f,,,,,,,,,,,,,,,,
b,e,ː,r,a,i,e,x,e,ə,n,,,,,,,,,,,,,,,,
t,͡,s,e,ː,l,i,k,,,,,,,,,,,,,,,,,,,
i,n,t,r,i,ç,ə,,,,,,,,,,,,,,,,,,,,
v,o,ː,l,v,o,l,ə,n,t,,,,,,,,,,,,,,,,,
f,e,ə,s,ø,ː,n,ə,n,,,,,,,,,,,,,,,,,,
m,ə,n,ʃ,l,i,x,,,,,,,,,,,,,,,,,,,,
j,a,ː,ə,m,a,ə,k,t,,,,,,,,,,,,,,,,,,
a,u,s,ø,ː,n,u,ŋ,k,,,,,,,,,,,,,,,,,,
h,i,ŋ,a,b,ə,,,,,,,,,,,,,,,,,,,,,
u,n,b,e,ː,ʃ,e,d,i,ç,t,,,,,,,,,,,,,,,,
h,ø,f,l,i,x,,,,,,,,,,,,,,,,,,,,,
p,u,ə,,,,,,,,,,,,,,,,,,,,,,,,
ʃ,l,i,k,,,,,,,,,,,,,,,,,,,,,,,
f,l,a,i,s,,,,,,,,,,,,,,,,,,,,,,
t,r,a,k,b,a,ə,,,,,,,,,,,,,,,,,,,,
s,t,i,e,l,i,s,i,ː,ə,t,,,,,,,,,,,,,,,,
v,o,ː,l,v,o,l,ə,n,,,,,,,,,,,,,,,,,,
l,i,ː,p,l,i,ŋ,k,,,,,,,,,,,,,,,,,,,
k,r,u,s,t,ə,,,,,,,,,,,,,,,,,,,,,
ɡ,e,ː,r,e,x,t,ə,,,,,,,,,,,,,,,,,,,
e,ə,l,o,y,x,t,u,ŋ,k,,,,,,,,,,,,,,,,,
f,o,ə,b,i,l,t,l,i,x,,,,,,,,,,,,,,,,,
v,u,n,d,e,ə,b,a,r,ə,,,,,,,,,,,,,,,,,
k,r,e,a,t,,,,,,,,,,,,,,,,,,,,,,
f,e,ə,s,i,ː,x,e,ə,n,,,,,,,,,,,,,,,,,
f,r,o,y,n,t,͡,ʃ,a,f,t,l,i,x,,,,,,,,,,,,,
b,e,ː,i,n,t,r,u,ː,k,ə,n,t,,,,,,,,,,,,,,
f,o,ə,t,͡,s,u,ː,t,͡,s,i,ː,ə,n,,,,,,,,,,,,
i,n,t,e,l,i,ː,ɡ,ə,n,t,ə,,,,,,,,,,,,,,,
o,r,i,ː,ɡ,i,n,a,ː,l,i,ː,t,e,t,,,,,,,,,,,,
h,u,l,d,i,ː,ɡ,u,ŋ,k,,,,,,,,,,,,,,,,,
a,i,n,f,l,u,s,r,a,i,x,,,,,,,,,,,,,,,,
b,e,ː,i,n,t,r,u,ː,k,ə,n,,,,,,,,,,,,,,,
t,a,ː,l,ə,n,t,i,e,ə,t,ə,,,,,,,,,,,,,,,
k,r,a,ː,t,i,s,,,,,,,,,,,,,,,,,,,,
f,r,a,i,e,ɡ,e,ː,b,ə,n,,,,,,,,,,,,,,,,
p,e,ə,f,e,k,t,,,,,,,,,,,,,,,,,,,,
o,u,ː,f,e,ə,t,y,r,ə,,,,,,,,,,,,,,,,,
e,m,p,͡,f,e,ː,l,ə,n,s,v,e,ə,t,,,,,,,,,,,,
a,i,e,ɡ,ə,n,n,a,m,ə,,,,,,,,,,,,,,,,,
e,ə,s,t,a,t,e,t,,,,,,,,,,,,,,,,,,,
a,n,t,͡,s,i,ː,u,ŋ,s,k,r,a,f,t,,,,,,,,,,,,
p,o,l,s,t,ə,,,,,,,,,,,,,,,,,,,,,
p,a,t,r,i,o,t,,,,,,,,,,,,,,,,,,,,
p,r,e,m,i,ə,,,,,,,,,,,,,,,,,,,,,
f,e,ə,f,a,i,ə,n,e,ə,t,,,,,,,,,,,,,,,,
r,e,x,t,m,e,s,i,k,,,,,,,,,,,,,,,,,,
r,e,s,p,e,k,t,i,ə,r,ə,n,,,,,,,,,,,,,,,
b,e,ː,l,o,y,x,t,ə,n,,,,,,,,,,,,,,,,,
p,u,r,ə,,,,,,,,,,,,,,,,,,,,,,,
p,a,t,r,i,o,ː,t,i,e,ʃ,ə,n,,,,,,,,,,,,,,
ʃ,ø,n,ə,,,,,,,,,,,,,,,,,,,,,,,
b,e,k,n,a,ː,d,i,ː,ɡ,u,ŋ,k,,,,,,,,,,,,,,
ɡ,e,ː,l,o,k,t,,,,,,,,,,,,,,,,,,,,
f,ø,ə,d,e,ə,l,i,x,,,,,,,,,,,,,,,,,,
f,o,ə,s,o,ə,ɡ,ə,,,,,,,,,,,,,,,,,,,
v,o,ː,l,h,a,ː,b,ə,n,t,,,,,,,,,,,,,,,,
s,p,i,ː,l,e,ː,r,i,ʃ,,,,,,,,,,,,,,,,,
o,ə,t,n,u,ŋ,s,ɡ,e,ː,m,e,s,,,,,,,,,,,,,,
p,r,o,k,r,e,s,i,f,ə,,,,,,,,,,,,,,,,,
l,e,x,e,l,n,,,,,,,,,,,,,,,,,,,,,
a,i,n,s,p,a,ː,r,u,ŋ,ə,n,,,,,,,,,,,,,,,
a,b,k,l,a,i,x,,,,,,,,,,,,,,,,,,,,
e,l,e,ː,ɡ,a,n,t,͡,s,,,,,,,,,,,,,,,,,
t,r,u,m,p,͡,f,,,,,,,,,,,,,,,,,,,,
i,ː,d,e,a,ː,l,e,ə,v,a,i,s,ə,,,,,,,,,,,,,
t,͡,s,i,ː,r,ə,n,,,,,,,,,,,,,,,,,,,
b,e,k,r,y,s,u,ŋ,k,,,,,,,,,,,,,,,,,,
ɡ,e,ː,n,i,u,s,,,,,,,,,,,,,,,,,,,,
b,e,ː,ɡ,y,ː,t,e,ə,t,,,,,,,,,,,,,,,,,
ə,n,t,y,l,u,ŋ,k,,,,,,,,,,,,,,,,,,,
e,t,i,ʃ,,,,,,,,,,,,,,,,,,,,,,,
b,e,ː,f,y,ə,v,o,ə,t,ə,n,,,,,,,,,,,,,,,
o,p,t,i,e,m,i,s,m,u,s,,,,,,,,,,,,,,,,
h,e,l,d,i,n,,,,,,,,,,,,,,,,,,,,,
i,n,t,u,i,ː,t,i,f,,,,,,,,,,,,,,,,,,
u,m,s,t,r,u,k,t,u,ː,r,i,ː,ə,t,,,,,,,,,,,,
r,e,x,t,s,a,n,v,e,l,t,i,n,,,,,,,,,,,,,,
e,k,s,t,͡,s,e,l,ə,n,t,͡,s,,,,,,,,,,,,,,
v,a,ː,ə,n,e,ː,m,b,a,ə,,,,,,,,,,,,,,,,
r,o,ː,m,a,n,t,i,ʃ,,,,,,,,,,,,,,,,,,
ɡ,e,ː,m,a,i,n,y,ː,t,͡,s,i,k,,,,,,,,,,,,,
a,u,s,l,e,ɡ,ə,,,,,,,,,,,,,,,,,,,,
e,k,s,t,a,i,n,,,,,,,,,,,,,,,,,,,,
k,l,u,k,,,,,,,,,,,,,,,,,,,,,,,
e,l,a,s,t,i,e,ʃ,ə,n,,,,,,,,,,,,,,,,,
t,͡,s,u,ɡ,k,r,a,f,t,,,,,,,,,,,,,,,,,
p,e,ə,f,e,k,t,s,i,o,n,,,,,,,,,,,,,,,,
m,i,l,ə,,,,,,,,,,,,,,,,,,,,,,,
ɡ,e,ː,l,o,ː,k,e,ə,t,,,,,,,,,,,,,,,,,
f,r,i,ʃ,ə,,,,,,,,,,,,,,,,,,,,,,
f,a,i,ə,n,e,s,,,,,,,,,,,,,,,,,,,,
b,e,ː,v,u,n,d,ə,r,ə,,,,,,,,,,,,,,,,,
p,r,i,ː,f,i,l,e,ː,ɡ,i,ː,ə,t,ə,n,,,,,,,,,,,
h,y,b,ʃ,,,,,,,,,,,,,,,,,,,,,,,
b,i,l,i,ː,ɡ,u,ŋ,k,,,,,,,,,,,,,,,,,,
p,r,i,n,t,͡,s,i,ː,p,i,ː,l,ə,,,,,,,,,,,,,
m,y,ː,h,e,ː,l,o,s,,,,,,,,,,,,,,,,,,
ɡ,e,ː,b,i,l,i,ç,t,,,,,,,,,,,,,,,,,,
k,o,ː,l,,,,,,,,,,,,,,,,,,,,,,,
t,͡,s,ə,n,s,i,p,l,ə,,,,,,,,,,,,,,,,,
f,e,ə,f,y,ː,r,ə,n,,,,,,,,,,,,,,,,,,
f,e,s,t,l,i,ː,x,ə,n,,,,,,,,,,,,,,,,,
t,͡,s,u,ː,s,a,m,ə,n,h,e,ŋ,ə,n,t,,,,,,,,,,,
d,u,ə,k,s,i,x,t,i,k,,,,,,,,,,,,,,,,,
d,a,ŋ,k,ə,n,,,,,,,,,,,,,,,,,,,,,
r,y,k,t,͡,s,a,ː,l,u,ŋ,k,,,,,,,,,,,,,,,
k,o,m,p,e,ː,t,ə,n,t,,,,,,,,,,,,,,,,,
a,d,e,k,v,a,t,,,,,,,,,,,,,,,,,,,,
t,͡,s,a,f,ə,,,,,,,,,,,,,,,,,,,,,
i,n,o,ː,f,a,ː,t,i,f,,,,,,,,,,,,,,,,,
y,ː,b,e,ə,f,l,u,s,,,,,,,,,,,,,,,,,,
d,u,ə,x,f,y,ː,ə,b,a,ə,,,,,,,,,,,,,,,,
e,ə,r,e,ː,ɡ,ə,n,,,,,,,,,,,,,,,,,,,
r,u,ː,d,e,l,,,,,,,,,,,,,,,,,,,,,
t,͡,s,a,u,h,b,e,ː,r,a,i,e,,,,,,,,,,,,,,
y,ː,b,e,ə,h,o,ː,l,ə,n,,,,,,,,,,,,,,,,
r,e,ː,f,o,ː,l,u,t,s,i,o,ː,n,e,ə,,,,,,,,,,,
l,i,ː,b,e,s,,,,,,,,,,,,,,,,,,,,,
m,o,ə,ɡ,ə,n,k,r,a,u,ə,n,,,,,,,,,,,,,,,
t,r,e,ː,s,o,ə,,,,,,,,,,,,,,,,,,,,
u,n,t,͡,s,v,a,i,e,f,e,l,h,a,f,t,,,,,,,,,,,
ə,n,t,l,o,s,,,,,,,,,,,,,,,,,,,,,
b,e,ː,r,u,ː,h,i,ː,ɡ,u,ŋ,k,,,,,,,,,,,,,,
b,e,f,r,i,ː,d,i,ç,t,,,,,,,,,,,,,,,,,
b,e,ː,ɡ,a,b,t,,,,,,,,,,,,,,,,,,,,
ɡ,e,ː,v,i,n,e,ː,r,i,n,,,,,,,,,,,,,,,,
l,i,n,d,e,ə,n,,,,,,,,,,,,,,,,,,,,
r,e,ː,f,o,ə,m,i,ː,r,ə,n,,,,,,,,,,,,,,,
k,r,e,a,ː,t,i,f,,,,,,,,,,,,,,,,,,,
ɡ,a,ː,r,a,n,t,,,,,,,,,,,,,,,,,,,,
a,u,s,t,a,u,ʃ,b,a,ə,,,,,,,,,,,,,,,,,
e,ə,h,a,ː,b,ə,n,,,,,,,,,,,,,,,,,,,
v,o,ː,l,b,e,ː,f,i,n,d,ə,n,,,,,,,,,,,,,,
k,l,e,n,t,͡,s,ə,n,,,,,,,,,,,,,,,,,,
t,͡,s,a,ː,n,i,ː,t,e,t,ə,,,,,,,,,,,,,,,
