88,d͡ʒ,iː,d,,,,,,,,,,,,,,,,,,,
89,s,b,q,,,,,,,,,,,,,,,,,,,
90,s,h,l,,,,,,,,,,,,,,,,,,,
91,ʃ,ɣ,l,,,,,,,,,,,,,,,,,,,
92,n,d͡ʒ,aː,ħ,,,,,,,,,,,,,,,,,,
93,ʃ,h,r,ة,,,,,,,,,,,,,,,,,,
94,ħ,f,ðˤ,,,,,,,,,,,,,,,,,,,
95,t,ħ,s,iː,n,,,,,,,,,,,,,,,,,
96,x,iː,r,,,,,,,,,,,,,,,,,,,
97,m,ʕ,r,dˤ,,,,,,,,,,,,,,,,,,
98,a,ʃ,t,h,r,,,,,,,,,,,,,,,,,
99,uː,aː,dˤ,ħ,,,,,,,,,,,,,,,,,,
100,m,s,aː,ʕ,d,ة,,,,,,,,,,,,,,,,
101,sˤ,b,aː,ħ,,,,,,,,,,,,,,,,,,
102,a,ٔ,b,tˤ,aː,l,,,,,,,,,,,,,,,,
103,r,iː,ٔ,iː,s,iː,,,,,,,,,,,,,,,,
104,t,q,d,iː,r,,,,,,,,,,,,,,,,,
105,k,m,aː,l,,,,,,,,,,,,,,,,,,
106,b,tˤ,l,,,,,,,,,,,,,,,,,,,
107,ħ,b,,,,,,,,,,,,,,,,,,,,
108,b,q,uː,ة,,,,,,,,,,,,,,,,,,
109,sˤ,ħ,ة,,,,,,,,,,,,,,,,,,,
110,m,n,ħ,,,,,,,,,,,,,,,,,,,
111,a,l,ʕ,q,l,,,,,,,,,,,,,,,,,
112,ħ,r,iː,ة,,,,,,,,,,,,,,,,,,
113,b,s,h,uː,l,ة,,,,,,,,,,,,,,,,
114,a,l,m,aː,d͡ʒ,s,t,iː,r,,,,,,,,,,,,,
115,a,ٔ,ʕ,ðˤ,m,,,,,,,,,,,,,,,,,
116,q,uː,iː,,,,,,,,,,,,,,,,,,,
117,q,aː,d,,,,,,,,,,,,,,,,,,,
118,t,ħ,sˤ,l,,,,,,,,,,,,,,,,,,
119,ʕ,m,l,t,,,,,,,,,,,,,,,,,,
120,n,sˤ,r,,,,,,,,,,,,,,,,,,,
121,a,x,t,l,aː,f,,,,,,,,,,,,,,,,
122,a,ٔ,q,uː,ى,,,,,,,,,,,,,,,,,
123,h,z,iː,m,ة,,,,,,,,,,,,,,,,,
124,s,l,aː,m,,,,,,,,,,,,,,,,,,
125,d͡ʒ,m,iː,l,,,,,,,,,,,,,,,,,,
126,m,h,m,,,,,,,,,,,,,,,,,,,
127,n,d͡ʒ,ħ,,,,,,,,,,,,,,,,,,,
128,a,t,f,aː,q,,,,,,,,,,,,,,,,,
129,ʃ,r,f,,,,,,,,,,,,,,,,,,,
130,r,aː,ʃ,d,,,,,,,,,,,,,,,,,,
131,a,l,d͡ʒ,uː,aː,iː,ٔ,z,,,,,,,,,,,,,,
132,b,iː,ٔ,r,,,,,,,,,,,,,,,,,,
133,iː,t,d͡ʒ,aː,uː,z,,,,,,,,,,,,,,,,
134,ʕ,aː,d,l,,,,,,,,,,,,,,,,,,
135,q,aː,b,l,ة,,,,,,,,,,,,,,,,,
136,d͡ʒ,m,iː,l,ة,,,,,,,,,,,,,,,,,
137,a,ʕ,t,b,aː,r,,,,,,,,,,,,,,,,
138,ħ,b,iː,b,,,,,,,,,,,,,,,,,,
139,r,dˤ,aː,,,,,,,,,,,,,,,,,,,
140,r,ʕ,aː,iː,ة,,,,,,,,,,,,,,,,,
141,t,t,m,t,ʕ,,,,,,,,,,,,,,,,,
142,f,dˤ,l,,,,,,,,,,,,,,,,,,,
143,b,s,iː,tˤ,,,,,,,,,,,,,,,,,,
144,a,l,d͡ʒ,m,aː,l,,,,,,,,,,,,,,,,
145,d,ʕ,aː,,,,,,,,,,,,,,,,,,,
146,t,uː,d͡ʒ,iː,h,,,,,,,,,,,,,,,,,
147,a,ٔ,s,r,ʕ,,,,,,,,,,,,,,,,,
148,iː,t,m,t,ʕ,,,,,,,,,,,,,,,,,
149,m,s,t,q,l,,,,,,,,,,,,,,,,,
150,s,r,iː,ʕ,,,,,,,,,,,,,,,,,,
151,h,aː,m,,,,,,,,,,,,,,,,,,,
152,a,ٔ,θ,aː,r,,,,,,,,,,,,,,,,,
153,s,aː,ʕ,d,,,,,,,,,,,,,,,,,,
154,q,iː,m,,,,,,,,,,,,,,,,,,,
155,r,i,g,h,t,,,,,,,,,,,,,,,,,
156,a,ٔ,ħ,s,n,,,,,,,,,,,,,,,,,
157,a,ٔ,d͡ʒ,m,l,,,,,,,,,,,,,,,,,
158,θ,q,ة,,,,,,,,,,,,,,,,,,,
159,r,iː,aː,dˤ,iː,,,,,,,,,,,,,,,,,
160,b,d,q,ة,,,,,,,,,,,,,,,,,,
161,k,r,iː,m,,,,,,,,,,,,,,,,,,
162,a,ٔ,m,n,,,,,,,,,,,,,,,,,,
163,t,ʕ,z,iː,z,,,,,,,,,,,,,,,,,
164,b,aː,s,t,m,r,aː,r,,,,,,,,,,,,,,
165,ʕ,ðˤ,iː,m,,,,,,,,,,,,,,,,,,
166,d͡ʒ,d,,,,,,,,,,,,,,,,,,,,
167,a,l,n,s,x,,,,,,,,,,,,,,,,,
168,m,ħ,s,n,,,,,,,,,,,,,,,,,,
169,ʃ,aː,b,,,,,,,,,,,,,,,,,,,
170,t,uː,f,iː,q,,,,,,,,,,,,,,,,,
171,d,q,ة,,,,,,,,,,,,,,,,,,,
172,a,ٕ,sˤ,l,aː,ħ,,,,,,,,,,,,,,,,
173,a,ٔ,k,d,,,,,,,,,,,,,,,,,,
174,a,l,d͡ʒ,n,ة,,,,,,,,,,,,,,,,,
175,ħ,m,aː,s,,,,,,,,,,,,,,,,,,
176,iː,ħ,b,,,,,,,,,,,,,,,,,,,
177,iː,k,f,iː,,,,,,,,,,,,,,,,,,
178,d͡ʒ,iː,d,aː,,,,,,,,,,,,,,,,,,
179,d,q,iː,q,,,,,,,,,,,,,,,,,,
180,uː,aː,f,q,,,,,,,,,,,,,,,,,,
181,q,aː,d,r,,,,,,,,,,,,,,,,,,
182,m,n,t,d͡ʒ,,,,,,,,,,,,,,,,,,
183,r,ħ,m,ة,,,,,,,,,,,,,,,,,,
184,b,ħ,q,,,,,,,,,,,,,,,,,,,
185,t,t,d͡ʒ,aː,uː,z,,,,,,,,,,,,,,,,
186,r,aː,iː,ٔ,ʕ,ة,,,,,,,,,,,,,,,,
187,s,k,n,,,,,,,,,,,,,,,,,,,
188,a,s,t,b,d,aː,l,,,,,,,,,,,,,,,
189,b,n,d͡ʒ,aː,ħ,,,,,,,,,,,,,,,,,
190,a,l,θ,q,ة,,,,,,,,,,,,,,,,,
191,a,ٔ,m,l,,,,,,,,,,,,,,,,,,
192,f,ʕ,aː,l,iː,ة,,,,,,,,,,,,,,,,
193,a,s,t,q,r,,,,,,,,,,,,,,,,,
194,h,z,m,,,,,,,,,,,,,,,,,,,
195,a,s,t,ʕ,aː,d,ة,,,,,,,,,,,,,,,
196,a,ٔ,d,b,,,,,,,,,,,,,,,,,,
197,s,r,,,,,,,,,,,,,,,,,,,,
198,n,f,uː,ð,,,,,,,,,,,,,,,,,,
199,iː,m,iː,n,,,,,,,,,,,,,,,,,,
200,m,l,ħ,uː,ðˤ,,,,,,,,,,,,,,,,,
201,f,k,r,,,,,,,,,,,,,,,,,,,
202,t,f,uː,q,,,,,,,,,,,,,,,,,,
203,tˤ,aː,h,r,,,,,,,,,,,,,,,,,,
204,b,aː,r,k,,,,,,,,,,,,,,,,,,
205,ʕ,l,aː,uː,ة,,,,,,,,,,,,,,,,,
206,t,d͡ʒ,aː,uː,z,,,,,,,,,,,,,,,,,
207,ʃ,aː,m,l,,,,,,,,,,,,,,,,,,
