2236,u,t͡ɕ,t͡ɕ,ɔ,t̪,ɔ,m,ɔ,,,,,,,,,,,,,,
2237,d̪,a,t̪,ɔ,b,d͡z,ɔ,,,,,,,,,,,,,,,
2238,a,n̪,u,ɡ,ɔ,t̪,d͡z,ɔ,,,,,,,,,,,,,,
2239,c,o,r,r,e,c,t,,,,,,,,,,,,,,,
2240,s̪,b,ɔ,r,ɡ,i,e̯,,,,,,,,,,,,,,,
2241,m,e,d̪,̤,a,b,i,,,,,,,,,,,,,,,
2242,d͡ʑ,i,b,ɔ,n̪,t̪,ɔ,,,,,,,,,,,,,,,
2243,s̪,b,ɔ,t͡ɕ,t͡ɕʰ,ɔ,,,,,,,,,,,,,,,,
2244,b̤,o,r,,,,,,,,,,,,,,,,,,,
2245,r,e,c,o,m,m,e,n,d,e,d,,,,,,,,,,,
2246,f,a,i,t,h,,,,,,,,,,,,,,,,,
2247,s̪,u,k,ʂ,m,ɔ,,,,,,,,,,,,,,,,
2248,s̪,u,kʰ,,,,,,,,,,,,,,,,,,,
2249,n̪,a,m,ɔ,k,ɔ,r,a,,,,,,,,,,,,,,
2250,kʰ,e,e̯,a,l̪,,,,,,,,,,,,,,,,,
2251,s̪,ɔ,m,m,a,n̪,s̪,u,t͡ɕ,ɔ,k,ɔ,,,,,,,,,,
2252,l̪,ɔ,k,ʂ,ɔ,n,i,e̯,,,,,,,,,,,,,,
2253,u,p,k,a,r,i,,,,,,,,,,,,,,,,
2254,s,i,g,n,i,f,i,c,a,n,t,,,,,,,,,,,
2255,s̪,b,e,t͡ɕ,t͡ɕʰ,a,e̯,,,,,,,,,,,,,,,
2256,p,ɽ,i,ʂ,tʰ,ɔ,p,o,ʂ,ɔ,k,ɔ,,,,,,,,,,
2257,s̪,ɔ,n̪,t̪,u,ʂ,t,ɔ,,,,,,,,,,,,,,
2258,p,r,ɔ,t̪,i,ɕ,r,u,t̪,i,,,,,,,,,,,,
2259,u,t̪,k,ɽ,i,ʂ,t,ɔ,,,,,,,,,,,,,,
2260,p,r,ɔ,s̪,ɔ,ŋ,ɡ,ɔ,,,,,,,,,,,,,,
2261,k,a,r,d͡z,ɔ,k,a,r,i,t̪,a,,,,,,,,,,,
2262,a,b,e,ɡ,,,,,,,,,,,,,,,,,,
2263,s̪,b,a,ɡ,ɔ,t̪,ɔ,,,,,,,,,,,,,,,
2264,b,a,ɽ,e,,,,,,,,,,,,,,,,,,
2265,c,l,e,a,r,,,,,,,,,,,,,,,,,
2266,p,r,i,t̪,i,,,,,,,,,,,,,,,,,
2267,ɡ,ɔ,t̪,i,ɕ,i,l̪,,,,,,,,,,,,,,,
2268,o,l̪,o,w,k,i,k,,,,,,,,,,,,,,,
2269,s,u,p,p,o,r,t,e,d,,,,,,,,,,,,,
2270,h,a,s̪,i,,,,,,,,,,,,,,,,,,
2271,m,ɽ,i,d̪,u,,,,,,,,,,,,,,,,,
2272,s̪,o,n̪,a,l̪,i,,,,,,,,,,,,,,,,
2273,s̪,ɔ,m,ɔ,r,t̪,ʰ,i,t̪,,,,,,,,,,,,,
2274,t͡ɕ,u,ɽ,a,,,,,,,,,,,,,,,,,,
2275,kʰ,u,ɕ,i,,,,,,,,,,,,,,,,,,
2276,s̪,ɔ,m,ɽ,i,d̪,d̪,̤,i,,,,,,,,,,,,,
2277,b,ɔ,h,u,m,u,kʰ,i,,,,,,,,,,,,,,
2278,d̪,i,e̯,e,o,,,,,,,,,,,,,,,,,
2279,o,j,k,d͡z,ɔ,,,,,,,,,,,,,,,,,
2280,s̪,ɔ,m,m,ɔ,t̪,i,,,,,,,,,,,,,,,
2281,ɕ,ɽ,i,ŋ,ɡ,ɔ,,,,,,,,,,,,,,,,
2282,s̪,t̪,ʰ,i,t̪,i,ɕ,i,l̪,,,,,,,,,,,,,
2283,n̪,i,b,i,ɽ,,,,,,,,,,,,,,,,,
2284,s̪,u,b,i,d̪,̤,a,d͡ʑ,ɔ,n̪,ɔ,k,ɔ,,,,,,,,,
2285,s̪,ɔ,m,b̤,ɔ,b,ɔ,p,ɔ,r,ɔ,,,,,,,,,,,
2286,a,b,ɔ,ɕ,d͡z,ɔ,k,ɔ,,,,,,,,,,,,,,
2287,e,n,o,u,g,h,,,,,,,,,,,,,,,,
2288,s̪,b,a,r,t̪,ʰ,ɔ,,,,,,,,,,,,,,,
2289,n̪,i,r,m,ɔ,l̪,ɔ,,,,,,,,,,,,,,,
2290,ɡ,o,l̪,a,p,i,,,,,,,,,,,,,,,,
2291,u,d͡ʑ,d͡ʑ,b,ɔ,l̪,ɔ,t̪,a,,,,,,,,,,,,,
2292,o,n̪,ɔ,b,ɔ,d̪,d͡z,ɔ,,,,,,,,,,,,,,
2293,ɕ,u,b̤,,,,,,,,,,,,,,,,,,,
2294,b̤,ɔ,k,t̪,i,,,,,,,,,,,,,,,,,
2295,b,u,d̪,d̪,̤,i,m,ɔ,t̪,t̪,a,,,,,,,,,,,
2296,s̪,b,ɔ,r,ɡ,ɔ,,,,,,,,,,,,,,,,
2297,s̪,ɔ,m,m,a,n̪,ɔ,d͡ʑ,ɔ,n̪,ɔ,k,ɔ,,,,,,,,,
2298,ɕ,a,n̪,t̪,i,p,u,r,n,ɔ,,,,,,,,,,,,
2299,p,r,ɔ,b̤,u,,,,,,,,,,,,,,,,,
2300,o,n̪,u,k,u,l̪,,,,,,,,,,,,,,,,
2301,s̪,ɽ,i,ʂ,t,i,ɕ,i,l̪,,,,,,,,,,,,,
2302,s̪,ɔ,m,ɔ,b,a,e̯,,,,,,,,,,,,,,,
2303,s̪,ɔ,n,t͡ɕ,e̯,ɔ,,,,,,,,,,,,,,,,
2304,d͡ʑ̤,o,ঁ,k,ɔ,,,,,,,,,,,,,,,,,
2305,b,i,ɕ,r,a,m,,,,,,,,,,,,,,,,
2306,o,b,i,t͡ɕ,t͡ɕʰ,e,d̪,d͡z,ɔ,,,,,,,,,,,,,
2307,l̪,a,b̤,ɔ,d͡ʑ,ɔ,n̪,ɔ,k,ɔ,,,,,,,,,,,,
2308,p,u,n̪,ɔ,r,ɡ,ɔ,tʰ,ɔ,n̪,ɔ,,,,,,,,,,,
2309,o,n̪,u,ɡ,ɔ,t̪,ɔ,,,,,,,,,,,,,,,
2310,b,i,s̪,m,i,t̪,,,,,,,,,,,,,,,,
2311,m,ɔ,n̪,o,r,ɔ,m,ɔ,,,,,,,,,,,,,,
2312,b,i,s̪,m,e̯,ɔ,k,ɔ,r,ɔ,,,,,,,,,,,,
2313,d̪,a,r,u,n,,,,,,,,,,,,,,,,,
2314,o,b,k,a,ɕ,,,,,,,,,,,,,,,,,
2315,c,o,r,r,e,c,t,l,y,,,,,,,,,,,,,
2316,b,d͡z,ɔ,b,ɔ,h,a,r,d͡z,ɔ,,,,,,,,,,,,
2317,b,o,j,p,l̪,ɔ,b,i,k,,,,,,,,,,,,,
2318,p,r,ɔ,t̪,i,m,a,,,,,,,,,,,,,,,
2319,p,u,ʂ,t,i,,,,,,,,,,,,,,,,,
2320,d̪,r,u,t̪,ɔ,t̪,ɔ,m,ɔ,,,,,,,,,,,,,
2321,o,b̤,i,n̪,ɔ,b,ɔ,,,,,,,,,,,,,,,
2322,o,ɡ,ɔ,r,ɔ,b,ɔ,r,t̪,i,,,,,,,,,,,,
2323,h,e,l,p,f,u,l,,,,,,,,,,,,,,,
2324,b,i,ɕ,e,ʂ,d͡z,ɔ,,,,,,,,,,,,,,,
2325,p,r,ɔ,t̪,i,b̤,a,b,a,n̪,,,,,,,,,,,,
2326,p,u,n̪,r,u,d̪,d̪,̤,a,r,,,,,,,,,,,,
2327,n̪,i,ɕ,t͡ɕ,e̯,ɔ,t̪,a,,,,,,,,,,,,,,
2328,k,ɔ,m,a,n̪,o,r,,,,,,,,,,,,,,,
2329,e,a,s,i,e,r,,,,,,,,,,,,,,,,
2330,d͡z,u,ɡ,a,n̪,t̪,ɔ,k,a,r,i,,,,,,,,,,,
2331,b,u,d̪,d̪,̤,i,m,a,n̪,,,,,,,,,,,,,
2332,p,r,ɔ,d̪,̤,a,n̪,ɔ,t̪,ɔ,m,ɔ,,,,,,,,,,
2333,p,u,ঁ,d͡ʑ,i,,,,,,,,,,,,,,,,,
2334,d͡ʑ,n,a,n̪,i,,,,,,,,,,,,,,,,,
2335,u,d̪,i,e̯,m,a,n̪,,,,,,,,,,,,,,,
2336,a,s̪,t̪,ʰ,a,,,,,,,,,,,,,,,,,
2337,p,r,o,p,e,r,l,y,,,,,,,,,,,,,,
2338,d͡z,ɔ,t̪,ʰ,a,r,t̪,ʰ,ɔ,,,,,,,,,,,,,
2339,n̪,i,r,b̤,u,l̪,,,,,,,,,,,,,,,,
2340,o,b,i,l̪,ɔ,m,b,e,,,,,,,,,,,,,,
2341,g,r,e,a,t,,,,,,,,,,,,,,,,,
2342,c,l,e,a,r,l,y,,,,,,,,,,,,,,,
2343,p,r,ɔ,t͡ɕ,a,r,e,,,,,,,,,,,,,,,
2344,n̪,ɔ,m,ɔ,n̪,i,e̯,,,,,,,,,,,,,,,
2345,t̪,i,k,ʂ,n,ɔ,,,,,,,,,,,,,,,,
2346,d͡ʑ,ɔ,r,i,m,a,n̪,a,,,,,,,,,,,,,,
2347,u,d̪,e̯,ɔ,,,,,,,,,,,,,,,,,,
2348,m,o,d,e,r,n,,,,,,,,,,,,,,,,
2349,s̪,u,d̪,ɔ,r,ɕ,ɔ,n̪,ɔ,,,,,,,,,,,,,
2350,s̪,a,m,ɔ,r,t̪,ʰ,d͡z,ɔ,,,,,,,,,,,,,
2351,t͡ɕ,i,t̪,t̪,a,k,ɔ,r,ʂ,ɔ,k,ɔ,,,,,,,,,,
2352,e,a,s,y,,,,,,,,,,,,,,,,,,
2353,s̪,o,w,b̤,a,ɡ,ɔ,d͡z,ɔ,,,,,,,,,,,,,
2354,m,ɔ,h,ɔ,t̪,ɔ,,,,,,,,,,,,,,,,
2355,b̤,a,ɡ,ɔ,d͡z,ɔ,,,,,,,,,,,,,,,,
2356,ɡ,ɔ,tʰ,ɔ,n̪,ɔ,m,u,l̪,ɔ,k,ɔ,,,,,,,,,,
2357,u,k,i,l̪,,,,,,,,,,,,,,,,,,
2358,o,b,i,s̪,m,ɔ,r,ɔ,n,i,e̯,,,,,,,,,,,
2359,o,n̪,u,s̪,ɽ,i,t̪,,,,,,,,,,,,,,,
2360,p,r,o,m,p,t,,,,,,,,,,,,,,,,
2361,s̪,b,ɔ,ɕ,a,s̪,i,t̪,,,,,,,,,,,,,,
2362,s̪,u,s̪,b,a,d̪,u,,,,,,,,,,,,,,,
2363,s̪,a,m,ɔ,n,d͡ʑ,ɔ,s̪,d͡z,ɔ,p,u,r,n,ɔ,,,,,,,
2364,n̪,u,t̪,ɔ,n̪,ɔ,,,,,,,,,,,,,,,,
2365,i,t͡ɕ,t͡ɕʰ,u,k,,,,,,,,,,,,,,,,,
2366,s̪,u,kʰ,i,,,,,,,,,,,,,,,,,,
2367,s̪,a,h,a,d͡z,d͡z,ɔ,k,a,r,i,,,,,,,,,,,
2368,ɕ,i,t̪,ʰ,i,l̪,,,,,,,,,,,,,,,,
2369,b,i,r,ɔ,t̪,b,ɔ,,,,,,,,,,,,,,,
2370,k,ɔ,p,a,l̪,,,,,,,,,,,,,,,,,
2371,u,ʂ,n,ɔ,t̪,a,,,,,,,,,,,,,,,,
2372,m,i,tʰ,a,,,,,,,,,,,,,,,,,,
2373,s̪,n̪,e,h,ɔ,,,,,,,,,,,,,,,,,
2374,m,ɔ,n,i,,,,,,,,,,,,,,,,,,
2375,m,ɔ,d͡ʑ,a,,,,,,,,,,,,,,,,,,
2376,p,ɔ,r,i,p,u,r,ɔ,k,ɔ,,,,,,,,,,,,
2377,n̪,i,ঃ,s̪,ɔ,n̪,d̪,e,h,e,,,,,,,,,,,,
2378,d̪,̤,a,r,a,l̪,o,,,,,,,,,,,,,,,
2379,u,d̪,a,r,,,,,,,,,,,,,,,,,,
2380,s,u,i,t,a,b,l,e,,,,,,,,,,,,,,
2381,i,m,p,r,o,v,e,,,,,,,,,,,,,,,
2382,s̪,ɔ,n̪,t̪,o,ʂ,,,,,,,,,,,,,,,,
2383,s̪,ɔ,ŋ,b,e,d̪,ɔ,n̪,ɔ,ɕ,i,l̪,,,,,,,,,,
2384,m,a,n̪,d͡z,ɔ,,,,,,,,,,,,,,,,,
2385,b̤,a,l̪,b,a,s̪,e,,,,,,,,,,,,,,,
2386,r,e,a,s,o,n,a,b,l,e,,,,,,,,,,,,
2387,h,a,o,e̯,a,,,,,,,,,,,,,,,,,
2388,s̪,u,ʂ,tʰ,u,,,,,,,,,,,,,,,,,
2389,r,ɔ,t̪,n̪,ɔ,,,,,,,,,,,,,,,,,
2390,b,o,d̪,̤,ɔ,ɡ,ɔ,m,d͡z,ɔ,,,,,,,,,,,,
2391,d̪,e̯,a,l̪,u,,,,,,,,,,,,,,,,,
2392,b,i,b̤,i,n̪,n̪,ɔ,t̪,a,,,,,,,,,,,,,
2393,n̪,i,r,a,p,d̪,e,,,,,,,,,,,,,,,
2394,u,d̪,d̪,i,p,n̪,a,,,,,,,,,,,,,,,
2395,s,t,r,o,n,g,,,,,,,,,,,,,,,,
2396,p,r,o,t,e,c,t,,,,,,,,,,,,,,,
2397,o,n̪,u,r,a,ɡ,i,,,,,,,,,,,,,,,
2398,b,ɔ,l̪,i,ʂ,tʰ,ɔ,,,,,,,,,,,,,,,
2399,d̪,̤,a,r,a,b,a,h,i,k,t̪,a,,,,,,,,,,
2400,a,ɕ,i,r,b,a,d̪,,,,,,,,,,,,,,,
2401,v,e,r,i,f,i,a,b,l,e,,,,,,,,,,,,
2402,c,o,m,p,a,t,i,b,l,e,,,,,,,,,,,,
2403,b,i,ɕ,b,ɔ,s̪,t̪,ɔ,,,,,,,,,,,,,,
2404,p,u,r,ɔ,ʂ,k,a,r,,,,,,,,,,,,,,
2405,t͡ɕ,ɔ,k,ɔ,t͡ɕ,ɔ,k,e,,,,,,,,,,,,,,
2406,a,ɕ,t͡ɕ,ɔ,r,d͡z,ɔ,,,,,,,,,,,,,,,
2407,a,n̪,t̪,ɔ,r,i,k,,,,,,,,,,,,,,,
2408,s,u,p,p,o,r,t,s,,,,,,,,,,,,,,
2409,s̪,u,ɡ,ɔ,n̪,d̪,̤,i,,,,,,,,,,,,,,
2410,p,r,a,t͡ɕ,u,r,d͡z,ɔ,,,,,,,,,,,,,,
2411,p,r,ɔ,t̪,i,p,a,d̪,d͡z,ɔ,,,,,,,,,,,,
2412,p,ɔ,r,i,m,a,r,d͡ʑ,ɔ,n̪,ɔ,,,,,,,,,,,
2413,k,l̪,a,s̪,i,k,,,,,,,,,,,,,,,,
2414,e,k,n̪,i,ʂ,tʰ,ɔ,,,,,,,,,,,,,,,
2415,v,a,r,i,e,t,y,,,,,,,,,,,,,,,
2416,c,o,n,s,i,s,t,e,n,t,,,,,,,,,,,,
2417,s̪,ɔ,h,ɔ,d͡ʑ,ɔ,t̪,ɔ,r,ɔ,,,,,,,,,,,,
2418,d͡z,a,d̪,u,,,,,,,,,,,,,,,,,,
2419,b,i,s̪,m,e̯,ɔ,,,,,,,,,,,,,,,,
2420,d̪,r,u,t̪,ɡ,a,m,i,,,,,,,,,,,,,,
2421,o,n̪,u,ɡ,ɔ,r,ɔ,h,ɔ,p,u,r,b,ɔ,k,ɔ,,,,,,
2422,s̪,ɔ,n̪,t̪,ɔ,,,,,,,,,,,,,,,,,
2423,p,u,n̪,r,u,d͡ʑ,d͡ʑ,i,b,i,t̪,,,,,,,,,,,
2424,k,u,s̪,u,m,,,,,,,,,,,,,,,,,
2425,s,u,f,f,i,c,i,e,n,t,,,,,,,,,,,,
2426,l,e,a,d,i,n,g,,,,,,,,,,,,,,,
2427,m,a,d̪,̤,u,r,i,,,,,,,,,,,,,,,
2428,b,ɔ,n̪,d̪,̤,u,t̪,b,ɔ,p,u,r,n,ɔ,,,,,,,,
2429,s̪,ɔ,m,b,ɔ,n̪,d̪,̤,ɔ,,,,,,,,,,,,,
2430,s̪,ɔ,ŋ,h,ɔ,t̪,i,,,,,,,,,,,,,,,
2431,r,o,m,d͡z,a,n̪,t,i,k,,,,,,,,,,,,,
2432,b,d͡z,ɔ,b,ɔ,h,a,r,d͡z,o,ɡ,ɔ,d͡z,ɔ,,,,,,,,
2433,b,i,l̪,a,s̪,ɔ,b,ɔ,h,u,l̪,,,,,,,,,,,
2434,p,r,ɔ,t̪,i,p,ɔ,t̪,t̪,i,,,,,,,,,,,,
2435,n̪,o,j,t̪,i,k,t̪,a,,,,,,,,,,,,,,
2436,n̪,i,r,ɔ,b,ɔ,,,,,,,,,,,,,,,,
2437,k,ɔ,r,u,n,a,m,e̯,ɔ,,,,,,,,,,,,,
2438,o,j,ɕ,b,ɔ,r,i,k,,,,,,,,,,,,,,
2439,o,b̤,i,n̪,ɔ,n̪,d̪,ɔ,n̪,ɔ,,,,,,,,,,,,
2440,r,e,n̪,e,s̪,ɔ̃,,,,,,,,,,,,,,,,
2441,b,i,d͡ʑ,e̯,i,d̪,e,r,,,,,,,,,,,,,,
2442,p,r,ɔ,s̪,i,d̪,d̪,̤,i,,,,,,,,,,,,,
2443,n̪,i,r,d̪,e,ɕ,i,k,a,,,,,,,,,,,,,
2444,d̪,a,e̯,i,t̪,b,e,r,,,,,,,,,,,,,,
2445,a,r,o,ɡ,ɔ,d͡z,ɔ,,,,,,,,,,,,,,,
2446,o,m,u,l̪,d͡z,ɔ,,,,,,,,,,,,,,,,
2447,o,m,ɔ,l̪,ɔ,,,,,,,,,,,,,,,,,
2448,a,i,n̪,ɔ,t̪,ɔ,,,,,,,,,,,,,,,,
2449,o,b̤,d͡z,ɔ,r,t̪,ʰ,ɔ,n̪,a,,,,,,,,,,,,
2450,r,e,s,p,e,c,t,,,,,,,,,,,,,,,
2451,r,e,l,i,e,f,,,,,,,,,,,,,,,,
2452,s̪,u,n̪,i,ɕ,t͡ɕ,i,t̪,,,,,,,,,,,,,,
2453,s̪,a,h,ɔ,s̪,i,k,t̪,a,,,,,,,,,,,,,
2454,r,ɔ,k,ʂ,ɔ,k,ɔ,,,,,,,,,,,,,,,
2455,d̪,̤,a,r,ɔ,n,ɔ,k,ʂ,ɔ,m,ɔ,t̪,a,,,,,,,,
2456,d̪,e,ɕ,ɔ,p,r,e,m,i,k,,,,,,,,,,,,
2457,o,b̤,i,d͡z,o,d͡ʑ,i,t̪,,,,,,,,,,,,,,
2458,o,p,r,a,d͡ʑ,e,e̯,,,,,,,,,,,,,,,
2459,o,n̪,e,k,kʰ,a,n̪,i,,,,,,,,,,,,,,
2460,t,r,a,n,s,p,a,r,e,n,t,,,,,,,,,,,
2461,p,o,p,u,l,a,r,,,,,,,,,,,,,,,
2462,s̪,b,ɔ,t̪,ɔ,ঃ,s̪,ɸ,u,r,t̪,ɔ,,,,,,,,,,
2463,s̪,i,s̪,a,,,,,,,,,,,,,,,,,,
2464,ɕ,r,e,ʂ,tʰ,ɔ,t̪,b,ɔ,,,,,,,,,,,,,
2465,ɕ,i,k,ʂ,a,m,u,l̪,ɔ,k,ɔ,,,,,,,,,,,
2466,m,ɔ,r,d͡z,a,d̪,a,p,u,r,n,ɔ,,,,,,,,,,
2467,b̤,ɔ,d̪,r,ɔ,,,,,,,,,,,,,,,,,
2468,b,ɔ,n̪,d̪,̤,u,t̪,b,e,r,,,,,,,,,,,,
2469,p,r,ɔ,kʰ,ɔ,r,ɔ,,,,,,,,,,,,,,,
2470,p,ɔ,r,i,t͡ɕ,t͡ɕʰ,ɔ,n̪,n̪,ɔ,,,,,,,,,,,,
2471,n̪,ɔ,n̪,d̪,ɔ,,,,,,,,,,,,,,,,,
2472,s̪,a,ɸ,,,,,,,,,,,,,,,,,,,
2473,s̪,ɔ,ŋ,ɡ,ɔ,t̪,i,,,,,,,,,,,,,,,
2474,l̪,a,l̪,i,t̪,,,,,,,,,,,,,,,,,
2475,p,d͡z,a,r,a,m,a,u,n̪,t,ɔ,,,,,,,,,,,
2476,ɡ,ɔ,r,b,ɔ,,,,,,,,,,,,,,,,,
2477,kʰ,ɔ,r,ɔ,t͡ɕ,e,,,,,,,,,,,,,,,,
2478,u,p,k,a,r,,,,,,,,,,,,,,,,,
2479,a,s̪,ɔ,k,t̪,i,,,,,,,,,,,,,,,,
2480,o,n̪,t̪,ɔ,r,ɔ,ŋ,ɡ,ɔ,,,,,,,,,,,,,
2481,o,t̪,u,l̪,n̪,i,e̯,,,,,,,,,,,,,,,
2482,c,o,n,s,t,r,u,c,t,i,v,e,,,,,,,,,,
2483,s̪,u,ɸ,ɔ,l̪,ɔ,,,,,,,,,,,,,,,,
2484,p,r,ɔ,ɸ,u,l̪,l̪,ɔ,,,,,,,,,,,,,,
2485,n̪,i,kʰ,u,ঁ,t̪,ɔ,b̤,a,b,e,,,,,,,,,,,
2486,d,i,ɸ,e,n̪,d,a,r,,,,,,,,,,,,,,
2487,a,p,p,r,e,c,i,a,t,e,,,,,,,,,,,,
2488,s̪,u,b,ɔ,r,n,ɔ,,,,,,,,,,,,,,,
2489,s̪,u,n̪,d̪,ɔ,r,ɔ,b̤,a,b,e,,,,,,,,,,,
2490,s̪,ɔ,ŋ,h,ɔ,t̪,ɔ,,,,,,,,,,,,,,,
2491,ɕ,ɔ,k,t̪,i,m,a,n̪,,,,,,,,,,,,,,
2492,l̪,a,b̤,b,a,n̪,,,,,,,,,,,,,,,,
2493,p,r,ɔ,t̪,i,p,a,d̪,ɔ,n̪,ɔ,,,,,,,,,,,
2494,p,u,ʂ,p,ɔ,,,,,,,,,,,,,,,,,
2495,d͡ʑ,e,t̪,a,,,,,,,,,,,,,,,,,,
2496,k,ʂ,ɔ,m,ɔ,t̪,a,ɕ,a,l̪,i,,,,,,,,,,,
2497,a,ɕ,t͡ɕ,ɔ,r,d͡z,ɔ,d͡ʑ,ɔ,n̪,ɔ,k,ɔ,,,,,,,,,
2498,m,a,g,i,c,,,,,,,,,,,,,,,,,
2499,s̪,e,b,ɔ,n̪,ɔ,,,,,,,,,,,,,,,,
2500,s̪,u,d̪,,,,,,,,,,,,,,,,,,,
2501,s̪,i,d̪,d̪,̤,i,,,,,,,,,,,,,,,,
2502,s̪,ɔ,m,p,u,r,ɔ,k,ɔ,,,,,,,,,,,,,
2503,s̪,ɔ,n̪,t̪,o,ʂ,ɔ,d͡ʑ,ɔ,n̪,ɔ,k,ɔ,,,,,,,,,
2504,ɡ,ɔ,r,b,i,t̪,,,,,,,,,,,,,,,,
2505,k,u,t,n̪,i,t̪,i,k,,,,,,,,,,,,,,
2506,a,ɕ,b,a,s̪,,,,,,,,,,,,,,,,,
2507,s,e,n,s,i,t,i,v,e,,,,,,,,,,,,,
2508,s̪,u,ɕ,ɽ,i,ŋ,kʰ,ɔ,l̪,ɔ,,,,,,,,,,,,
2509,s̪,ɔ,r,b,a,ɡ,r,e,,,,,,,,,,,,,,
2510,s̪,ɔ,r,ɔ,l̪,i,k,ɽ,i,t̪,,,,,,,,,,,,
2511,m,a,n̪,n̪,i,e̯,,,,,,,,,,,,,,,,
2512,m,ɔ,h,i,m,a,,,,,,,,,,,,,,,,
2513,b,i,ɕ,b,a,s̪,d͡z,o,ɡ,ɔ,d͡z,ɔ,,,,,,,,,,
2514,p,r,ɔ,t̪,i,k,a,r,,,,,,,,,,,,,,
2515,p,ɔ,r,i,p,u,r,n,ɔ,t̪,a,,,,,,,,,,,
2516,d̪,̤,ɔ,r,m,ɔ,p,r,a,n,,,,,,,,,,,,
2517,d̪,̤,ɔ,n̪,d͡z,ɔ,,,,,,,,,,,,,,,,
2518,o,n̪,u,r,ɔ,k,t̪,ɔ,,,,,,,,,,,,,,
2519,r,e,s,t,o,r,e,d,,,,,,,,,,,,,,
2520,l,o,v,e,,,,,,,,,,,,,,,,,,
2521,s̪,m,a,r,t,ɔ,,,,,,,,,,,,,,,,
2522,m,ɔ,h,i,m,a,n̪,b,i,t̪,,,,,,,,,,,,
2523,a,ɕ,a,b,a,d̪,i,,,,,,,,,,,,,,,
2524,o,ɡ,ɔ,r,ɔ,s̪,ɔ,r,ɔ,m,a,n̪,,,,,,,,,,
2525,s,u,c,c,e,s,s,f,u,l,l,y,,,,,,,,,,
2526,s,u,c,c,e,s,s,,,,,,,,,,,,,,,
2527,r,e,a,d,a,b,l,e,,,,,,,,,,,,,,
2528,e,f,f,e,c,t,i,v,e,,,,,,,,,,,,,
2529,c,o,m,p,l,i,a,n,t,,,,,,,,,,,,,
2530,s̪,u,d̪,u,r,ɔ,p,r,ɔ,s̪,a,r,i,,,,,,,,,
2531,l̪,ɔ,b,d̪,̤,ɔ,,,,,,,,,,,,,,,,
2532,m,u,l̪,ɔ,d̪,ɔ,,,,,,,,,,,,,,,,
2533,b,l̪,ɔ,k,ɔ,b,a,s̪,t,a,r,,,,,,,,,,,
2534,b,a,s̪,t̪,ɔ,b,i,k,,,,,,,,,,,,,,
2535,p,r,e,m,i,k,a,,,,,,,,,,,,,,,
2536,p,o,w,ঁ,t͡ɕʰ,a,n̪,o,,,,,,,,,,,,,,
2537,p,ɔ,r,i,s̪,k,a,r,,,,,,,,,,,,,,
2538,n̪,a,b,d͡z,ɔ,,,,,,,,,,,,,,,,,
2539,d̪,r,u,t̪,ɔ,ɡ,ɔ,t̪,i,t̪,e,,,,,,,,,,,
2540,t̪,a,d͡ʑ,a,,,,,,,,,,,,,,,,,,
2541,a,b,e,ɕ,,,,,,,,,,,,,,,,,,
2542,a,n̪,ɔ,n̪,d̪,i,t̪,,,,,,,,,,,,,,,
2543,o,b,i,s̪,ɔ,ŋ,b,a,d̪,i,t̪,,,,,,,,,,,
2544,s,p,e,e,d,i,l,y,,,,,,,,,,,,,,
2545,p,o,s,i,t,i,v,e,,,,,,,,,,,,,,
2546,i,m,p,r,o,v,i,n,g,,,,,,,,,,,,,
2547,f,a,m,o,u,s,,,,,,,,,,,,,,,,
2548,a,c,c,u,r,a,t,e,,,,,,,,,,,,,,
2549,a,c,c,e,s,s,i,b,l,e,,,,,,,,,,,,
2550,s̪,u,d̪,ɽ,i,ɕ,d͡z,ɔ,,,,,,,,,,,,,,
2551,ɕ,a,n̪,t̪,i,r,ɔ,k,ʂ,i,,,,,,,,,,,,
2552,m,e,d͡ʑ,a,d͡ʑ,,,,,,,,,,,,,,,,,
2553,n̪,i,ʂ,tʰ,a,,,,,,,,,,,,,,,,,
2554,t̪,ɽ,i,p,t̪,i,,,,,,,,,,,,,,,,
2555,t͡ɕ,ɔ,t̪,u,r,,,,,,,,,,,,,,,,,
2556,k,ɽ,i,t̪,ɔ,d͡ʑ,n,ɔ,t̪,a,,,,,,,,,,,,
2557,t,h,a,n,k,,,,,,,,,,,,,,,,,
2558,c,r,e,a,t,i,v,e,,,,,,,,,,,,,,
2559,d͡z,a,d̪,u,k,ɔ,r,ɔ,,,,,,,,,,,,,,
2560,b̤,ɔ,ŋ,ɡ,i,m,a,,,,,,,,,,,,,,,
2561,ɸ,d͡z,a,n̪,,,,,,,,,,,,,,,,,,
2562,p,r,a,n,ɔ,b,ɔ,n̪,t̪,ɔ,,,,,,,,,,,,
2563,d̪,u,ঃ,s̪,a,h,ɔ,s̪,i,k,,,,,,,,,,,,
2564,t̪,b,ɔ,r,i,t̪,,,,,,,,,,,,,,,,
2565,u,d̪,b̤,a,b,n̪,i,,,,,,,,,,,,,,,
2566,o,b̤,i,b,a,d̪,ɔ,n̪,ɔ,,,,,,,,,,,,,
2567,f,i,n,e,,,,,,,,,,,,,,,,,,
2568,e,n,c,o,u,r,a,g,e,,,,,,,,,,,,,
2569,d,e,s,i,r,a,b,l,e,,,,,,,,,,,,,
2570,s̪,p,ɔ,ʂ,t,ɔ,t̪,i,,,,,,,,,,,,,,
